company_name,funding_amount,industry,location,funding_rounds,founding_year,data_source,is_early_stage,is_startup,funding_category,Website,Country,funding_stage,Last Funding Date,announced_date,Investors,Description,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
BayArea Startup 31,15000000.0,FinTech,Berkeley,2.0,2022.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 32,1000000.0,Robotics,Oakland,1.0,2022.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 33,2000000.0,MarTech,Menlo Park,5.0,2023.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 34,5000000.0,FinTech,Redwood City,2.0,2023.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 35,500000.0,PropTech,Palo Alto,3.0,2021.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 36,5000000.0,MarTech,San Mateo,2.0,2020.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 37,15000000.0,Hardware,Berkeley,4.0,2020.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 38,100000000.0,EdTech,Mountain View,4.0,2024.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 39,20000000.0,FinTech,Oakland,1.0,2018.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 40,20000000.0,SaaS,Sunnyvale,1.0,2023.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 41,50000000.0,CleanTech,Menlo Park,1.0,2023.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 42,2000000.0,SaaS,Sunnyvale,2.0,2022.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 43,2000000.0,MarTech,Redwood City,1.0,2022.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 44,50000000.0,AgTech,San Mateo,3.0,2019.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 45,1000000.0,E-commerce,San Jose,5.0,2018.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 46,20000000.0,AI,Palo Alto,5.0,2018.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 47,500000.0,EdTech,Palo Alto,1.0,2022.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 48,15000000.0,Biotech,San Mateo,4.0,2021.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 49,15000000.0,CleanTech,Oakland,5.0,2023.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 50,1000000.0,Biotech,Sunnyvale,1.0,2021.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
Faire,1400000000.0,Retail,San Francisco,7.0,2017.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Scale AI,602000000.0,AI Data,San Francisco,6.0,2016.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Rippling,1200000000.0,HR Tech,San Francisco,6.0,2016.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Brex,1200000000.0,FinTech,San Francisco,9.0,2017.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Gusto,516000000.0,HR Tech,San Francisco,6.0,2011.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Samsara,930000000.0,IoT,San Francisco,5.0,2015.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Instacart,2700000000.0,Delivery,San Francisco,15.0,2012.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Flexport,2200000000.0,Logistics,San Francisco,9.0,2013.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Anduril,1900000000.0,Defense,Costa Mesa,5.0,2017.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Figma,330000000.0,Design,San Francisco,6.0,2012.0,Startup Genome,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Mercor,75000000.0,Artificial Intelligence,,,,Growth List,0.0,True,Late Stage (≤$100M),mercor.com,United States,Series B,Feb 2025,,,,,,,,,,,
Created by Humans,5500000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),www.createdbyhumans.ai,United States,Seed,Feb 2025,,,,,,,,,,,
Manas AI,24600000.0,Artificial Intelligence,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.manasai.co,United States,Seed,Feb 2025,,,,,,,,,,,
BluWhale,75000000.0,"Artificial Intelligence, Cloud Computing",,,,Growth List,0.0,True,Late Stage (≤$100M),bluwhale.net,United States,Initial Coin Offering,Feb 2025,,,,,,,,,,,
Savant Labs,18500000.0,"Artificial Intelligence, Data, Analytics",,,,Growth List,1.0,True,Growth Stage (≤$50M),savantlabs.io,United States,Series A,Feb 2025,,,,,,,,,,,
Athenic AI,4300000.0,"Artificial Intelligence, Data, Analytics",,,,Growth List,1.0,True,Early Stage (≤$10M),Athenic.com,United States,Seed,Feb 2025,,,,,,,,,,,
Delve,3300000.0,"Artificial Intelligence, Data, Marketing",,,,Growth List,1.0,True,Early Stage (≤$10M),www.delve.co,United States,Seed,Feb 2025,,,,,,,,,,,
Motif,46000000.0,Augmented Reality,,,,Growth List,1.0,True,Growth Stage (≤$50M),motif.io,United States,Series A,Feb 2025,,,,,,,,,,,
Atomicwork,25000000.0,Cloud Computing,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.atomicwork.com,United States,Series A,Feb 2025,,,,,,,,,,,
Kroskod,,Cloud Computing,,,,Growth List,1.0,True,Unknown,Kroskod.com,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Roofr,,"Construction, Marketplace, Aerospace",,,,Growth List,0.0,True,Unknown,roofr.com,United States,Series B,Feb 2025,,,,,,,,,,,
Pakal Technologies,25000000.0,Electronics,,,,Growth List,0.0,True,Growth Stage (≤$50M),pakal-tech.com,United States,Series B,Feb 2025,,,,,,,,,,,
Smart Wires,65000000.0,Energy,,,,Growth List,0.0,True,Late Stage (≤$100M),www.smartwires.com,United States,Private Equity,Feb 2025,,,,,,,,,,,
WeaveGrid,,"Energy, Cloud Computing",,,,Growth List,0.0,True,Unknown,www.weavegrid.com,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Wisetack,25000000.0,Finance,,,,Growth List,0.0,True,Growth Stage (≤$50M),www.wisetack.com,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Taxflow,750000.0,"FinTech, Finance",,,,Growth List,1.0,True,Seed Stage (≤$1M),www.jointaxflow.ai,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Bicycle Health,16500000.0,Healthcare,,,,Growth List,0.0,True,Growth Stage (≤$50M),www.bicyclehealth.com,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Delfina,17000000.0,Healthcare,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.delfina.com,United States,Series A,Feb 2025,,,,,,,,,,,
Safely You,43000000.0,"Healthcare, Family",,,,Growth List,0.0,True,Growth Stage (≤$50M),www.safely-you.com,United States,Series C,Feb 2025,,,,,,,,,,,
Waterlily,7000000.0,"Healthcare, Insurance, Family",,,,Growth List,1.0,True,Early Stage (≤$10M),www.waterlily.com,United States,Seed,Feb 2025,,,,,,,,,,,
Tandem Space,6100000.0,Aerospace,,,,Growth List,1.0,True,Early Stage (≤$10M),tandem.space,United States,Seed,Feb 2025,,,,,,,,,,,
Riot,30000000.0,Artificial Intelligence,,,,Growth List,0.0,True,Growth Stage (≤$50M),tryriot.com,United States,Series B,Feb 2025,,,,,,,,,,,
Response,4160000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),www.tryresponse.com,United States,Seed,Feb 2025,,,,,,,,,,,
TrueFoundry,19000000.0,Artificial Intelligence,,,,Growth List,1.0,True,Growth Stage (≤$50M),truefoundry.com,United States,Series A,Feb 2025,,,,,,,,,,,
Ivo,16000000.0,"Artificial Intelligence, Marketing",,,,Growth List,1.0,True,Growth Stage (≤$50M),www.ivo.ai,United States,Series A,Feb 2025,,,,,,,,,,,
Warmly,6000000.0,"Artificial Intelligence, Sales",,,,Growth List,1.0,True,Early Stage (≤$10M),warmly.ai,United States,Series A,Feb 2025,,,,,,,,,,,
Plume Network,,Blockchain,,,,Growth List,0.0,True,Unknown,www.plumenetwork.xyz,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Monograph,20000000.0,"Cloud Computing, Architecture",,,,Growth List,0.0,True,Growth Stage (≤$50M),monograph.com,United States,Series B,Feb 2025,,,,,,,,,,,
Trace.Space,4000000.0,"Cloud Computing, Artificial Intelligence",,,,Growth List,1.0,True,Early Stage (≤$10M),trace.space,United States,Seed,Feb 2025,,,,,,,,,,,
Semgrep,100000000.0,"Cyber Security, Analytics",,,,Growth List,0.0,True,Late Stage (≤$100M),semgrep.dev,United States,Series D,Feb 2025,,,,,,,,,,,
Converge,5600000.0,"Data, Marketing",,,,Growth List,0.0,True,Early Stage (≤$10M),www.runconverge.com,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Archive,30000000.0,"E-commerce, Fashion, Marketplace",,,,Growth List,0.0,True,Growth Stage (≤$50M),www.archiveresale.com,United States,Series B,Feb 2025,,,,,,,,,,,
TaxGPT,4600000.0,"Finance, Artificial Intelligence",,,,Growth List,1.0,True,Early Stage (≤$10M),www.taxgpt.com,United States,Seed,Feb 2025,,,,,,,,,,,
Sotira,2000000.0,"FinTech, Finance",,,,Growth List,1.0,True,Early Stage (≤$10M),sotira.co,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Little Otter,9500000.0,"Healthcare, Mental Health",,,,Growth List,0.0,True,Early Stage (≤$10M),www.littleotterhealth.com,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Fay,50000000.0,"Healthcare, Wellness, Nutrition and Supplements",,,,Growth List,0.0,True,Growth Stage (≤$50M),www.faynutrition.com,United States,Series B,Feb 2025,,,,,,,,,,,
Tyba,13900000.0,"Human Resources, Recruiting, Artificial Intelligence",,,,Growth List,1.0,True,Growth Stage (≤$50M),www.tyba.ai,United States,Series A,Feb 2025,,,,,,,,,,,
Mixedbread,5500000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),mixedbread.ai,United States,Seed,Feb 2025,,,,,,,,,,,
Fal,49000000.0,Artificial Intelligence,,,,Growth List,0.0,True,Growth Stage (≤$50M),www.fal.ai,United States,Series B,Feb 2025,,,,,,,,,,,
Pinkfish,7600000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),www.pinkfish.ai,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Future AGI,1600000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),futureagi.com,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Tofu,12000000.0,Cloud Computing,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.tofuhq.com,United States,Series A,Feb 2025,,,,,,,,,,,
Hydro Wind Energy,82660.0,Energy,,,,Growth List,0.0,True,Seed Stage (≤$1M),www.hw.energy,United States,Equity Crowdfunding,Feb 2025,,,,,,,,,,,
Limited,3000000.0,Finance,,,,Growth List,1.0,True,Early Stage (≤$10M),limitedapp.com,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Comulate,20000000.0,"Finance, Analytics",,,,Growth List,0.0,True,Growth Stage (≤$50M),www.comulate.com,United States,Series B,Feb 2025,,,,,,,,,,,
museLIVE Inc.,,Gaming,,,,Growth List,1.0,True,Unknown,quabble.app,United States,Seed,Feb 2025,,,,,,,,,,,
Candid Health,52500000.0,Healthcare,,,,Growth List,0.0,True,Late Stage (≤$100M),www.joincandidhealth.com,United States,Series C,Feb 2025,,,,,,,,,,,
Junevity,10000000.0,"Healthcare, Wellness",,,,Growth List,1.0,True,Early Stage (≤$10M),www.junevity.com,United States,Seed,Feb 2025,,,,,,,,,,,
Human,7300000.0,Human Resources,,,,Growth List,1.0,True,Early Stage (≤$10M),joinhuman.com,United States,Pre-Seed,Feb 2025,,,,,,,,,,,
Vouch,,Insurance,,,,Growth List,0.0,True,Unknown,www.vouch.us,United States,Series D,Feb 2025,,,,,,,,,,,
Index,2193705.0,Marketing,,,,Growth List,1.0,True,Early Stage (≤$10M),www.index.inc,United States,Seed,Feb 2025,,,,,,,,,,,
Suger,15000000.0,Marketplace,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.suger.io,United States,Series A,Feb 2025,,,,,,,,,,,
Fifteenth,8250000.0,"Real Estate, Property Management",,,,Growth List,1.0,True,Early Stage (≤$10M),www.fifteenth.com,United States,Seed,Feb 2025,,,,,,,,,,,
Era Finance,6200000.0,Wellness,,,,Growth List,1.0,True,Early Stage (≤$10M),era.app,United States,Seed,Feb 2025,,,,,,,,,,,
Beam,11000000.0,Wellness,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.trybeam.com,United States,Series A,Feb 2025,,,,,,,,,,,
Baseten,75000000.0,Artificial Intelligence,,,,Growth List,0.0,True,Late Stage (≤$100M),www.baseten.co,United States,Series C,Feb 2025,,,,,,,,,,,
CTGT,7200000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),www.ctgt.ai,United States,Seed,Feb 2025,,,,,,,,,,,
Entangl,,Artificial Intelligence,,,,Growth List,0.0,True,Unknown,www.entangl.ai,United States,Venture - Series Unknown,Feb 2025,,,,,,,,,,,
Lingo.dev,4200000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),lingo.dev,United States,Seed,Feb 2025,,,,,,,,,,,
Pulse,3900000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),www.runpulse.com,United States,Seed,Feb 2025,,,,,,,,,,,
Sawmills,10000000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),www.sawmills.ai,United States,Seed,Feb 2025,,,,,,,,,,,
Aomni,4000000.0,"Artificial Intelligence, Sales",,,,Growth List,1.0,True,Early Stage (≤$10M),www.aomni.com,United States,Seed,Feb 2025,,,,,,,,,,,
Hightouch,80000000.0,"Data, Marketing",,,,Growth List,0.0,True,Late Stage (≤$100M),www.hightouch.com,United States,Series C,Feb 2025,,,,,,,,,,,
Riley,3100000.0,"Finance, Cloud Computing",,,,Growth List,1.0,True,Early Stage (≤$10M),rileyapp.com,United States,Seed,Feb 2025,,,,,,,,,,,
Varo Bank,28982355.0,"FinTech, Finance",,,,Growth List,0.0,True,Growth Stage (≤$50M),www.varomoney.com,United States,Series G,Feb 2025,,,,,,,,,,,
Lambda,480000000.0,"Hardware, Artificial Intelligence",,,,Growth List,0.0,True,Mega Round (>$100M),lambdalabs.com,United States,Series D,Feb 2025,,,,,,,,,,,
Wurthy,,"Cloud Computing, Wellness",,,,Growth List,1.0,True,Unknown,www.wurthy.co,United States,Seed,Jan 2025,,,,,,,,,,,
OpenFunnel,1300000.0,Artificial Intelligence,,,,Growth List,1.0,True,Early Stage (≤$10M),openfunnel.dev,United States,Pre-Seed,Jan 2025,,,,,,,,,,,
Innovaccer,275000000.0,"Artificial Intelligence, Cloud Computing, Data, Analytics",,,,Growth List,0.0,True,Mega Round (>$100M),www.innovaccer.com,United States,Series F,Jan 2025,,,,,,,,,,,
MilkStraw AI,600000.0,"Artificial Intelligence, Data",,,,Growth List,1.0,True,Seed Stage (≤$1M),www.milkstraw.ai,United States,Pre-Seed,Jan 2025,,,,,,,,,,,
Tenvie Therapeutics,200000000.0,"Biotechnology, Healthcare",,,,Growth List,1.0,True,Mega Round (>$100M),tenvie.com,United States,Series A,Jan 2025,,,,,,,,,,,
Movement Labs,100000000.0,Blockchain,,,,Growth List,0.0,True,Late Stage (≤$100M),movementlabs.xyz,United States,Series B,Jan 2025,,,,,,,,,,,
Cuckoo,500000.0,Cloud Computing,,,,Growth List,1.0,True,Seed Stage (≤$1M),www.cuckoo.so,United States,Pre-Seed,Jan 2025,,,,,,,,,,,
Fazeshift,4000000.0,Energy,,,,Growth List,1.0,True,Early Stage (≤$10M),www.fazeshift.com,United States,Seed,Jan 2025,,,,,,,,,,,
Gridware,26500000.0,Environment,,,,Growth List,1.0,True,Growth Stage (≤$50M),gridware.io,United States,Series A,Jan 2025,,,,,,,,,,,
Siren Care,9500000.0,Healthcare,,,,Growth List,0.0,True,Early Stage (≤$10M),siren.care,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Grove,4900000.0,"Healthcare, Artificial Intelligence",,,,Growth List,1.0,True,Early Stage (≤$10M),grovetrials.com,United States,Seed,Jan 2025,,,,,,,,,,,
Abstract,4800000.0,Legal,,,,Growth List,1.0,True,Early Stage (≤$10M),abstract.us,United States,Seed,Jan 2025,,,,,,,,,,,
Ouro Medicines,120000000.0,Pharmaceuticals,,,,Growth List,1.0,True,Mega Round (>$100M),www.ouromedicines.com,United States,Series A,Jan 2025,,,,,,,,,,,
Tangible,3000000.0,Real Estate,,,,Growth List,0.0,True,Early Stage (≤$10M),tangiblematerials.com,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Loft Orbital,170000000.0,Aerospace,,,,Growth List,0.0,True,Mega Round (>$100M),www.loftorbital.com,United States,Series C,Jan 2025,,,,,,,,,,,
Homestead Capital,,"Agriculture, Investing",,,,Growth List,0.0,True,Unknown,www.homesteadcapital.com,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Magic,805525.0,Artificial Intelligence,,,,Growth List,0.0,True,Seed Stage (≤$1M),magic.dev,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Thoras.ai,5000000.0,"Artificial Intelligence, Cloud Computing",,,,Growth List,1.0,True,Early Stage (≤$10M),thoras.ai,United States,Seed,Jan 2025,,,,,,,,,,,
Mesh,,Blockchain,,,,Growth List,0.0,True,Unknown,meshconnect.com,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Phantom,150000000.0,Blockchain,,,,Growth List,0.0,True,Mega Round (>$100M),phantom.com,United States,Series C,Jan 2025,,,,,,,,,,,
Open Ledger,3000000.0,Blockchain,,,,Growth List,0.0,True,Early Stage (≤$10M),www.openledger.com,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Instabase,100000000.0,Data,,,,Growth List,0.0,True,Late Stage (≤$100M),instabase.com,United States,Series D,Jan 2025,,,,,,,,,,,
Arva AI,3000000.0,"Data, Artificial Intelligence, Analytics",,,,Growth List,1.0,True,Early Stage (≤$10M),www.arva.ai,United States,Seed,Jan 2025,,,,,,,,,,,
kegg,6500000.0,"Electronics, Artificial Intelligence",,,,Growth List,1.0,True,Early Stage (≤$10M),kegg.tech,United States,Series A,Jan 2025,,,,,,,,,,,
Teal Health,10000000.0,"Healthcare, B2C Software",,,,Growth List,1.0,True,Early Stage (≤$10M),getteal.com,United States,Seed,Jan 2025,,,,,,,,,,,
Vividly,30000000.0,Hospitality,,,,Growth List,0.0,True,Growth Stage (≤$50M),govividly.com,United States,Series B,Jan 2025,,,,,,,,,,,
Eve,47000000.0,Legal,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.eve.legal,United States,Series A,Jan 2025,,,,,,,,,,,
Thrive,,Professional Services,,,,Growth List,0.0,True,Unknown,thrivenextgen.com,United States,Private Equity,Jan 2025,,,,,,,,,,,
Rainbow,8000000.0,Social Network,,,,Growth List,1.0,True,Early Stage (≤$10M),www.userainbow.com,United States,Series A,Jan 2025,,,,,,,,,,,
Gravity,13000000.0,Accounting,,,,Growth List,1.0,True,Growth Stage (≤$50M),www.gravityclimate.com,United States,Series A,Jan 2025,,,,,,,,,,,
Ember Software,10000000.0,Cloud Computing,,,,Growth List,0.0,True,Early Stage (≤$10M),www.embersoftware.com,United States,Venture - Series Unknown,Jan 2025,,,,,,,,,,,
Alumis,259000000.0,BioTech,San Francisco,,,Recent News,0.0,True,Mega Round (>$100M),,,Series C,,2024-03-15,,,,,,,,,,
Applied Intuition,250000000.0,Autonomous Vehicles,Mountain View,,,Recent News,0.0,True,Mega Round (>$100M),,,Series E,,2024-03-12,,,,,,,,,,
inDrive,150000000.0,Mobility,Mountain View,,,Recent News,0.0,True,Mega Round (>$100M),,,Series D,,2024-03-08,,,,,,,,,,
Observe,115000000.0,Data Analytics,San Mateo,,,Recent News,0.0,True,Mega Round (>$100M),,,Series C,,2024-03-05,,,,,,,,,,
Nozomi Networks,100000000.0,Cybersecurity,San Francisco,,,Recent News,0.0,True,Late Stage (≤$100M),,,Series E,,2024-03-01,,,,,,,,,,
Olmo,5000000.0,AI Search,San Francisco,,,Q1 2025 Seed Reports,1.0,True,Early Stage (≤$10M),,,Seed,,2025-01-30,,,,,,,,,,
Embark Bio,4500000.0,BioTech,South San Francisco,,,Q1 2025 Seed Reports,1.0,True,Early Stage (≤$10M),,,Seed,,2025-01-25,,,,,,,,,,
Modular AI,4000000.0,AI,Palo Alto,,,Q1 2025 Seed Reports,1.0,True,Early Stage (≤$10M),,,Seed,,2025-01-20,,,,,,,,,,
Clarity Health,3500000.0,HealthTech,Oakland,,,Q1 2025 Seed Reports,1.0,True,Early Stage (≤$10M),,,Seed,,2025-01-15,,,,,,,,,,
Meta Stack,3000000.0,DevTools,San Francisco,,,Q1 2025 Seed Reports,1.0,True,Early Stage (≤$10M),,,Seed,,2025-01-10,,,,,,,,,,
