name,description,logo_url,website_url,scraped_at,tags,hq_location,employee_count,founded_year,investors,funding_details,valuation
World Labs,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2023","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/7e39375157714ef1b7733d002ebb3017",https://www.worldlabs.ai/?utm_source=topstartups.io,2025-03-28 07:05:40,"Artificial Intelligence, 11-50 employees, Founded: 2023, Andreessen Horowitz","San Francisco Bay Area, California, USA",11-50 employees,20,"Artificial Intelligence, 11-50 employees, Founded: 2023, Andreessen Horowitz, Andreessen, Horowitz","$230M Series A, Series A, $230M, $1.0B",$1.0B valuation
Industry:,,,,2025-03-28 07:05:41,,,1-10 employees,,"Sequoia, Andreessen, Horowitz, Accel, Benchmark, Kleiner, Founders Fund, Y Combinator, Khosla, Bessemer","Series A, Series B, Series C, Series D, Series E, Series F, Series G, Series H, Series I",
Cortex,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
101-200 employees Founded: 2019","https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/o9krgzpt5d7hmm5d5vp4",https://www.cortex.io/?utm_source=topstartups.io,2025-03-28 07:05:42,"Enterprise Software, Developer Tools, 101-200 employees, Founded: 2019, Sequoia","San Francisco Bay Area, California, USA",101-200 employees,20,"Enterprise Software, Developer Tools, 101-200 employees, Founded: 2019, Sequoia","$60M Series C, Series C, $60M",
Atlys,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2020","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/icjjhljnjqxdgepbytyz",https://www.atlys.com/?utm_source=topstartups.io,2025-03-28 07:05:43,"Immigration, Travel, 11-50 employees, Founded: 2020, Andreessen Horowitz, Sequoia, Accel","San Francisco Bay Area, California, USA",11-50 employees,20,"Immigration, Travel, 11-50 employees, Founded: 2020, Andreessen Horowitz, Sequoia, Accel, Andreessen, Horowitz","$20M Series B, Series B, $20M",
HighTouch.io,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2018","https://images.crunchbase.com/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco,dpr_1/uhsr0uetxgjuq84ksent",http://www.hightouch.io/?utm_source=topstartups.io,2025-03-28 07:05:43,"Marketing, Enterprise Software, SaaS, Sales, 11-50 employees, Founded: 2018, Y Combinator","San Francisco Bay Area, California, USA",11-50 employees,20,"Marketing, Enterprise Software, SaaS, Sales, 11-50 employees, Founded: 2018, Y Combinator","$80M Series C, Series C, $80M, $1.2B",$1.2B valuation
Qventus,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
101-200 employees Founded: 2012","https://images.crunchbase.com/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/v1504537466/sx7fkolgm56fkhqupehd.png",http://www.qventus.com/?utm_source=topstartups.io,2025-03-28 07:05:44,"Predictive Analytics, Healthcare, 101-200 employees, Founded: 2012, Bessemer, Y Combinator","San Francisco Bay Area, California, USA",101-200 employees,20,"Predictive Analytics, Healthcare, 101-200 employees, Founded: 2012, Bessemer, Y Combinator","$85M Series D, Series D, $85M",
Decagon,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2023","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/e0779b5e58c94c77bce457ce9a6ed2dc",https://decagon.ai/?utm_source=topstartups.io,2025-03-28 07:05:45,"Artificial Intelligence, Enterprise Software, 11-50 employees, Founded: 2023, Andreessen Horowitz, Accel","San Francisco Bay Area, California, USA",11-50 employees,20,"Artificial Intelligence, Enterprise Software, 11-50 employees, Founded: 2023, Andreessen Horowitz, Accel, Andreessen, Horowitz","$65M Series B, Series B, $65M",
Databricks,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
5000+ employees Founded: 2013","https://images.crunchbase.com/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/w4fk7lg95vmrsqt6gire",http://databricks.com/?utm_source=topstartups.io,2025-03-28 07:05:46,"Artificial Intelligence, SaaS, Analytics, Data Science, 5000+ employees, Founded: 2013, Andreessen Horowitz","San Francisco Bay Area, California, USA",5000+ employees,20,"Artificial Intelligence, SaaS, Analytics, Data Science, 5000+ employees, Founded: 2013, Andreessen Horowitz, Andreessen, Horowitz","$10B Series J, Series J, $10B, $62.0B",$62.0B valuation
Render,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
51-100 employees Founded: 2018",https://res.cloudinary.com/die3a7qhl/image/upload/v1739239915/render-logo_m6kuwe.svg,https://www.render.com/?utm_source=topstartups.io,2025-03-28 07:05:47,"SaaS, Enterprise Software, Developer Tools, 51-100 employees, Founded: 2018, Bessemer, General Catalyst","San Francisco Bay Area, California, USA",51-100 employees,20,"SaaS, Enterprise Software, Developer Tools, 51-100 employees, Founded: 2018, Bessemer, General Catalyst","$80M Series C, Series C, $80M",
Semgrep,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2017","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/z9okitrtwykeceivfrsh",https://semgrep.dev/?utm_source=topstartups.io,2025-03-28 07:05:47,"Cybersecurity, SaaS, 201-500 employees, Founded: 2017, Sequoia","San Francisco Bay Area, California, USA",201-500 employees,20,"Cybersecurity, SaaS, 201-500 employees, Founded: 2017, Sequoia","$100M Series D, Series D, $100M",
