name,description,logo_url,website_url,scraped_at,tags,hq_location,employee_count,founded_year,investors,funding_details,valuation
Cresta,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
201-500 employees Founded: 2017",https://images.crunchbase.com/image/upload/ooblsjdblhfi601ujl7r,http://cresta.com/?utm_source=topstartups.io,2025-03-28 03:54:14,"Sales, Andreessen Horowitz, Enterprise Software, Sequoia, Artificial Intelligence",,201-500 employees,2017,,$125M Series D in 2024,
Infinitus,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
101-200 employees Founded: 2019","https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,f_auto,b_white,q_auto:eco,dpr_1/dn00i7alw6rc3xla89km",https://www.infinitus.ai/?utm_source=topstartups.io,2025-03-28 03:54:14,"Andreessen Horowitz, Artificial Intelligence, Health, Kleiner Perkins",,101-200 employees,2019,,$51M Series C in 2024,
Nooks,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
51-100 employees Founded: 2020","https://images.crunchbase.com/image/upload/c_pad,h_120,w_120,f_auto,b_white,q_auto:eco,dpr_1/jbymoqcyqscp8fgvud6b",https://www.nooks.ai/?utm_source=topstartups.io,2025-03-28 03:54:14,"Sales, Artificial Intelligence, Kleiner Perkins",,51-100 employees,2020,,$43M Series B in 2024,
Decagon,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2023","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/e0779b5e58c94c77bce457ce9a6ed2dc",https://decagon.ai/?utm_source=topstartups.io,2025-03-28 03:54:14,"Andreessen Horowitz, Accel, Artificial Intelligence, Enterprise Software",,11-50 employees,2023,,$65M Series B in 2024,
World Labs,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2023","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/7e39375157714ef1b7733d002ebb3017",https://www.worldlabs.ai/?utm_source=topstartups.io,2025-03-28 03:54:15,"Andreessen Horowitz, Artificial Intelligence",,11-50 employees,2023,,$230M Series A in 2024,$1.0B valuation
Safe Superintelligence,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
1-10 employees Founded: 2024","https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/b6ff26f22c0d4c5c8fec0811038f3e62",https://ssi.inc/?utm_source=topstartups.io,2025-03-28 03:54:15,"Andreessen Horowitz, Sequoia, Artificial Intelligence",,1-10 employees,2024,,$1B Series A in 2024,
Harmonic,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2023","https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/14620131a02b438192d571be5e2492f4",https://harmonic.fun/index/?utm_source=topstartups.io,2025-03-28 03:54:15,"Sequoia, Artificial Intelligence",,11-50 employees,2023,,$75M Series A in 2024,
Atlys,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
11-50 employees Founded: 2020","https://images.crunchbase.com/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/icjjhljnjqxdgepbytyz",https://www.atlys.com/?utm_source=topstartups.io,2025-03-28 03:54:15,"Andreessen Horowitz, Immigration, Accel, Sequoia, Travel",,11-50 employees,2020,,$20M Series B in 2024,
Cortex,"Quick facts:
📍HQ: San Francisco Bay Area, California, USA
101-200 employees Founded: 2019","https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/o9krgzpt5d7hmm5d5vp4",https://www.cortex.io/?utm_source=topstartups.io,2025-03-28 03:54:15,"Sequoia, Enterprise Software, Developer Tools",,101-200 employees,2019,,$60M Series C in 2024,
Get newly funded startups delivered to you weekly,Get newly funded startups delivered to you weekly,,,2025-03-28 03:54:15,,,,,,,
