uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,dba_end_date,location_end_date,lic,lic_code_description,lic_code_descriptions_list,administratively_closed,business_corridor,is_tech_naics,is_tech_name,data_source
1347889-12-231-1148550,1347889-12-231,1148550,Clarivate Analytics (Us) LLC,Clarivate Analytics (Us) LLC,50 California St,San Francisco,CA,94111,2017-01-01T00:00:00.000,2020-03-15T00:00:00.000,789 E Eisenhower Park,Ann Arbor,48108,MI,,,,False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.397363, 37.79406]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1248971-03-201-1112996,1248971-03-201,1112996,Magda Zakaib,Magda Zakaib,1321 Upland Dr Apt 1321,Houston,TX,77043,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,,,,,7210-7219,Accommodations,Accommodations,False,False,,,"{'type': 'Point', 'coordinates': [-95.576660995, 29.789942881]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2023-06-30T00:00:00.000,2023-06-30T00:00:00.000,,,,***Administratively Closed,,False,True,DataSF
1273513-04-211-1122943,1273513-04-211,1122943,"Joro Tech, Inc.","Joro Tech, Inc.",1528 Webster St,Oakland,CA,94612,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,2330 Webster St 751,Oakland,94612,CA,5100-5199,Information,Information,False,False,,,"{'type': 'Point', 'coordinates': [-122.2675, 37.80473]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1249037-03-201-1113021,1249037-03-201,1113021,Bay Maintenance Enterprise,Bay Maintenance Enterprise,9500 C St,Oakland,CA,94603,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,9500 C St,Oakland,94603,CA,2200-2299,Utilities,Utilities,False,False,,,"{'type': 'Point', 'coordinates': [-122.176175025, 37.74451198]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1308451-06-221-0385524,1308451-06-221,0385524,Edventuremore!,Edventuremore!,1428 Shotwell St,San Francisco,CA,94110,2005-02-18T00:00:00.000,2020-03-16T00:00:00.000,Po Box 2854,San Francisco,94126,CA,6100-6299,Private Education and Health Services,Private Education and Health Services,False,False,9,Bernal Heights,"{'type': 'Point', 'coordinates': [-122.415228, 37.745748]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1249166-03-201-1058654,1249166-03-201,1058654,Side Inc,Mountain Luxury Properties,580 4th St,San Francisco,CA,94107,2016-09-01T00:00:00.000,2020-03-18T00:00:00.000,580 4th St,San Francisco,94107,CA,5300-5399,Real Estate and Rental and Leasing Services,Real Estate and Rental and Leasing Services,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.396967, 37.778499]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1252668-05-201-1113456,1252668-05-201,1113456,Sandra L Barahona Ramos,Lorena's Natural Products For Hair And Body,2689 Mission St,San Francisco,CA,94110,2020-03-03T00:00:00.000,2020-03-18T00:00:00.000,158 Lexington,San Francisco,94110,CA,,,,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.418279, 37.754118]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-05-27T00:00:00.000,,,,,,False,True,DataSF
1307348-06-221-1135999,1307348-06-221,1135999,"Imply Data, Inc.","Imply Data, Inc.",1633 Bayshore Hwy Ste 232,Burlingame,CA,94010,2020-03-19T00:00:00.000,2020-03-19T00:00:00.000,1633 Bayshore Hwy Ste 232,Burlingame,94010,CA,5100-5199,Information,Information,False,False,,,"{'type': 'Point', 'coordinates': [-122.369489038, 37.599393994]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1249287-03-201-1113127,1249287-03-201,1113127,Jianfei Li,Mediaid To-Go,519 Huron Ave,San Francisco,CA,94112,2020-03-20T00:00:00.000,2020-03-20T00:00:00.000,,,,,4400-4599,Retail Trade,Retail Trade,False,False,11,Outer Mission,"{'type': 'Point', 'coordinates': [-122.4469215, 37.713852]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2020-09-01T00:00:00.000,2020-09-01T00:00:00.000,,,,,,False,True,DataSF
1249305-03-201-1057343,1249305-03-201,1057343,Tcheutchoua Yves,Painlytics,61 Loehr St,San Francisco,CA,94134,2016-09-01T00:00:00.000,2020-03-20T00:00:00.000,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,10,Visitacion Valley,"{'type': 'Point', 'coordinates': [-122.4130275, 37.713222]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2023-06-01T00:00:00.000,2023-06-01T00:00:00.000,,,,,,False,True,DataSF
1303389-04-221-1134514,1303389-04-221,1134514,"Ariat International, Inc",Not Applicable,3242 Whipple Rd,Union City,CA,94587,2020-03-20T00:00:00.000,2020-03-20T00:00:00.000,1500 Alvarado St Ste 100,San Leandro,94577,CA,4200-4299,Wholesale Trade,Wholesale Trade,False,False,,,"{'type': 'Point', 'coordinates': [-122.080881001, 37.603937992]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1304976-05-221-1114096,1304976-05-221,1114096,"Scratch Phx, Inc.","Scratch Platform, LLC",375 Alabama St Ste 360,San Francisco,CA,94110,2020-03-20T00:00:00.000,2020-03-20T00:00:00.000,,,,,5100-5199,Information,Information,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.4118575, 37.764576]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2024-12-31T00:00:00.000,2024-12-31T00:00:00.000,,,,,,False,True,DataSF
1249331-03-201-1113144,1249331-03-201,1113144,Amanda Simpson,Hair Society,1538 Pacific Ave Ste 117,San Francisco,CA,94109,2020-03-21T00:00:00.000,2020-03-21T00:00:00.000,1538 Pacific Ave 117 Ste,San Francisco,94109,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,3,Russian Hill,"{'type': 'Point', 'coordinates': [-122.4206595, 37.795302]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1350436-01-241-1154068,1350436-01-241,1154068,Persefoni Ai Inc.,Persefoni Ai Inc.,2415 W Broadway Rd Unit 410,Mesa,AZ,85274,2020-03-23T00:00:00.000,2020-03-23T00:00:00.000,2415 W Broadway Rd Unit 41022,Mesa,85274,AZ,5100-5199,Information,Information,False,False,,,"{'type': 'Point', 'coordinates': [-111.88454934, 33.406838027]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1263203-11-201-1118711,1263203-11-201,1118711,Mapped Inc.,Mapped Inc.,147 Standard St,El Segundo,CA,90245,2020-03-23T00:00:00.000,2020-03-23T00:00:00.000,147 Standard St,El Segundo,90245,CA,5100-5199,Information,Information,False,False,,,"{'type': 'Point', 'coordinates': [-118.415047013, 33.917762006]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1250388-04-201-1113561,1250388-04-201,1113561,"Cyberspaces, Inc.","Cyberspaces, Inc.",300 3rd St Apt 615,San Francisco,CA,94107,2020-03-23T00:00:00.000,2020-03-23T00:00:00.000,,,,,,,,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.3990955, 37.783188]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2023-06-30T00:00:00.000,2023-06-30T00:00:00.000,,,,***Administratively Closed,,False,True,DataSF
1275027-04-211-1002712,1275027-04-211,1002712,Small Village Enterprises Dba Go Box Sf Bay,Sparkl Sustainable Solutions,621 Taylor Ave #,Alameda,CA,94501,2014-08-25T00:00:00.000,2020-03-23T00:00:00.000,621 Taylor Ave,Alameda,94501,CA,7220-7229,Food Services,Food Services,False,False,3,Nob Hill,"{'type': 'Point', 'coordinates': [-122.411804, 37.788254]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1249413-03-201-1113178,1249413-03-201,1113178,Cause Data Collective,Cause Data Collective,467 Guerrero St 3,San Francisco,CA,94110,2020-03-24T00:00:00.000,2020-03-24T00:00:00.000,,,,,5100-5199,Information,Information,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.423679, 37.763721]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2020-12-11T00:00:00.000,2020-12-11T00:00:00.000,,,,,,False,True,DataSF
1249482-03-201-1113222,1249482-03-201,1113222,Patrice Hammond,Tailored By Ty,1553 Hudson Ave,San Francisco,CA,94124,2020-03-25T00:00:00.000,2020-03-25T00:00:00.000,1553 Hudson Ave,San Francisco,94124,CA,4200-4299,Wholesale Trade,Wholesale Trade,False,False,10,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.387634, 37.739376]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-03-30T00:00:00.000,,,,,,False,True,DataSF
1249521-03-201-1113240,1249521-03-201,1113240,Sarah Swanson,Hairstylist,2634 17th Ave,San Francisco,CA,94116,2020-03-26T00:00:00.000,2020-03-26T00:00:00.000,2634 17th Ave,San Francisco,94116,CA,,,,False,False,7,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.472927, 37.738746]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1249617-03-201-1113284,1249617-03-201,1113284,Earth Orbit Technologies Inc.,Earth Orbit Technologies Inc.,148 W Walton Blvd,Pontiac,MI,48340,2020-03-27T00:00:00.000,2020-03-27T00:00:00.000,,,,,4200-4299,Wholesale Trade,Wholesale Trade,False,False,,,"{'type': 'Point', 'coordinates': [-83.306252986, 42.677163008]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2024-06-30T00:00:00.000,2024-06-30T00:00:00.000,,,,***Administratively Closed,,False,True,DataSF
1253648-06-201-0482009,1253648-06-201,0482009,Directly Inc,Directly Software Inc,333 Bryant St 250,San Francisco,CA,94107,2011-04-01T00:00:00.000,2020-03-27T00:00:00.000,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,6,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.3920755, 37.783836]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2021-09-30T00:00:00.000,2021-09-30T00:00:00.000,,,,,,False,True,DataSF
1249665-03-201-1113298,1249665-03-201,1113298,Ald Development Corp,Airport Dimensions Ltd.,5217 Tennyson Parkway Ste 100,Plano,TX,75024,2020-03-30T00:00:00.000,2020-03-30T00:00:00.000,5217 Tennyson Parkway 100 Ste,Plano,75024,TX,7220-7229,Food Services,Food Services,False,False,,,"{'type': 'Point', 'coordinates': [-96.805604015, 33.06869202]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-04-10T00:00:00.000,,,,,,False,True,DataSF
1254644-06-201-1027724,1254644-06-201,1027724,Nava Pbc Which Will Do Bus In Ca As Nava Technologies,Nava Technologies Which Will Do Bus In Ca As Nava Technologies,417 Montgomery St 900,San Francisco,CA,94104,2015-10-05T00:00:00.000,2020-03-31T00:00:00.000,1445 New York Ave Nw Ste 300,Washington,20005,DC,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.4032445, 37.793385]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1251403-05-201-1113970,1251403-05-201,1113970,Sewerai Corporation,Sewerai Corporation,227 Bliss Ct,Walnut Creek,CA,94598,2020-03-31T00:00:00.000,2020-03-31T00:00:00.000,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,"{'type': 'Point', 'coordinates': [-122.023725976, 37.921129995]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2022-04-30T00:00:00.000,2022-04-30T00:00:00.000,,,,,,False,True,DataSF
1249844-04-201-1113368,1249844-04-201,1113368,Julie Sakai,Julie Sakai,1175 Ellis St Apt 105,San Francisco,CA,94109,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,,,,,7100-7199,"Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation",False,False,2,Western Addition,"{'type': 'Point', 'coordinates': [-122.4251685, 37.783017]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2021-02-01T00:00:00.000,2021-02-01T00:00:00.000,,,,,,False,True,DataSF
1355876-03-241-1156371,1355876-03-241,1156371,"Forescout Technologies, Inc.","Forescout Technologies, Inc.",300 Santana Row Ste 400,San Jose,CA,95128,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,300 Santana Row Ste 400,San Jose,95128,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,"{'type': 'Point', 'coordinates': [-121.947319983, 37.322812019]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1250333-04-201-1113548,1250333-04-201,1113548,Wendy Dang,Simply Nails,5933 Mission Street,San Francisco,CA,94112,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,,,,,8100-8139,Certain Services,Certain Services,False,False,11,Excelsior,"{'type': 'Point', 'coordinates': [-122.453415, 37.708299]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2020-07-01T00:00:00.000,2020-07-01T00:00:00.000,,,,,,False,True,DataSF
1249834-04-201-1079018,1249834-04-201,1079018,Snappr Inc,Snappr,101 California St Ste 2710,San Francisco,CA,94111,2017-05-30T00:00:00.000,2020-04-01T00:00:00.000,50 California St Ste 1500,San Francisco,94111,CA,,,,False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.398047, 37.793043]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-07-01T00:00:00.000,,,,,,False,True,DataSF
1251690-05-201-1114093,1251690-05-201,1114093,"Scratch Platform, LLC","Scratch Platform, LLC",375 Alabama St Ste 360,San Francisco,CA,94110,2020-03-20T00:00:00.000,2020-04-01T00:00:00.000,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.4118575, 37.764576]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2022-05-12T00:00:00.000,2022-05-12T00:00:00.000,,,,,,False,True,DataSF
1252926-06-201-0465944,1252926-06-201,0465944,Atlas Technology Group,Atlas Technology Group LLC,50 Francisco St Ste 203,San Francisco,CA,94133,2010-10-01T00:00:00.000,2020-04-01T00:00:00.000,,,,,5210-5239,Financial Services,Financial Services,False,False,3,North Beach,"{'type': 'Point', 'coordinates': [-122.40594, 37.806093]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,,,,,,False,True,DataSF
1370528-09-241-1162180,1370528-09-241,1162180,United Airlines,United Airlines,233 S Wacker Dr Ste 710,Chicago,IL,60606,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,233 S Wacker Dr Ste 710,Chicago,60606,IL,4800-4999,Transportation and Warehousing,Transportation and Warehousing,False,False,,,"{'type': 'Point', 'coordinates': [-87.635804036, 41.878771014]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1250611-04-201-1113659,1250611-04-201,1113659,"Eisai Innovation, Inc","Eisai Innovation, Inc.",717 Market Street Ste 100,San Francisco,CA,94103,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,200 Metro Blvd,Nutley,07110,NJ,5210-5239,Financial Services,Financial Services,False,False,6,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.4039555, 37.787022]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1264037-11-201-1119063,1264037-11-201,1119063,Greendata.Ai LLC,Greendata.Ai LLC,2443 Fillmore St 3805407,San Francsico,CA,94607,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,2443 Fillmore St 3805407,San Francsico,94607,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,2,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.43478, 37.7922]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1250173-04-201-1113513,1250173-04-201,1113513,"Airgarage, Inc.",Airgarage,1112 Bryant St,San Francisco,CA,94103,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,2261 Market St 4027,San Francisco,94114,CA,,,,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.409198, 37.77111]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-06-01T00:00:00.000,,,,,,False,True,DataSF
1251312-04-201-0466482,1251312-04-201,0466482,Ker Global Inc,Retain And Expand,587 39th Ave,San Francisco,CA,94121,2012-01-01T00:00:00.000,2020-04-01T00:00:00.000,587 39th Ave,San Francisco,94121,CA,,,,False,False,1,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.499891, 37.777752]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1284319-08-211-0421768,1284319-08-211,0421768,Lipsetz Dauer Catherine E,Straightforward Creative,1597 Treat Ave,San Francisco,CA,94110,2007-09-01T00:00:00.000,2020-04-01T00:00:00.000,1597 Treat Ave,San Francisco,94110,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,9,Bernal Heights,"{'type': 'Point', 'coordinates': [-122.412204, 37.745091]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1274491-04-211-1113082,1274491-04-211,1113082,Redsail Technologies LLC,Redsail Technologies LLC,201 West Saint John St,Spartanburg,SC,29306,2019-07-19T00:00:00.000,2020-04-01T00:00:00.000,201 W Saint John St,Spartanburg,29306,SC,,,,False,False,,,"{'type': 'Point', 'coordinates': [-81.934944038, 34.950153015]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
