Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date
Wurthy,www.wurthy.co,"Cloud Computing, Wellness",United States,,Seed,Jan 2025
OpenFunnel,openfunnel.dev,Artificial Intelligence,United States,1300000.0,Pre-Seed,Jan 2025
Innovaccer,www.innovaccer.com,"Artificial Intelligence, Cloud Computing, Data, Analytics",United States,275000000.0,Series F,Jan 2025
MilkStraw AI,www.milkstraw.ai,"Artificial Intelligence, Data",United States,600000.0,Pre-Seed,Jan 2025
Tenvie Therapeutics,tenvie.com,"Biotechnology, Healthcare",United States,200000000.0,Series A,Jan 2025
Movement Labs,movementlabs.xyz,Blockchain,United States,100000000.0,Series B,Jan 2025
Cuckoo,www.cuckoo.so,Cloud Computing,United States,500000.0,Pre-Seed,Jan 2025
Fazeshift,www.fazeshift.com,Energy,United States,4000000.0,Seed,Jan 2025
Gridware,gridware.io,Environment,United States,26500000.0,Series A,Jan 2025
Siren Care,siren.care,Healthcare,United States,9500000.0,Venture - Series Unknown,Jan 2025
Grove,grovetrials.com,"Healthcare, Artificial Intelligence",United States,4900000.0,Seed,Jan 2025
Abstract,abstract.us,Legal,United States,4800000.0,Seed,Jan 2025
Ouro Medicines,www.ouromedicines.com,Pharmaceuticals,United States,120000000.0,Series A,Jan 2025
Tangible,tangiblematerials.com,Real Estate,United States,3000000.0,Venture - Series Unknown,Jan 2025
Loft Orbital,www.loftorbital.com,Aerospace,United States,170000000.0,Series C,Jan 2025
Homestead Capital,www.homesteadcapital.com,"Agriculture, Investing",United States,,Venture - Series Unknown,Jan 2025
Magic,magic.dev,Artificial Intelligence,United States,805525.0,Venture - Series Unknown,Jan 2025
Thoras.ai,thoras.ai,"Artificial Intelligence, Cloud Computing",United States,5000000.0,Seed,Jan 2025
Mesh,meshconnect.com,Blockchain,United States,,Venture - Series Unknown,Jan 2025
Phantom,phantom.com,Blockchain,United States,150000000.0,Series C,Jan 2025
Open Ledger,www.openledger.com,Blockchain,United States,3000000.0,Venture - Series Unknown,Jan 2025
Instabase,instabase.com,Data,United States,100000000.0,Series D,Jan 2025
Arva AI,www.arva.ai,"Data, Artificial Intelligence, Analytics",United States,3000000.0,Seed,Jan 2025
kegg,kegg.tech,"Electronics, Artificial Intelligence",United States,6500000.0,Series A,Jan 2025
Teal Health,getteal.com,"Healthcare, B2C Software",United States,10000000.0,Seed,Jan 2025
Vividly,govividly.com,Hospitality,United States,30000000.0,Series B,Jan 2025
Eve,www.eve.legal,Legal,United States,47000000.0,Series A,Jan 2025
Thrive,thrivenextgen.com,Professional Services,United States,,Private Equity,Jan 2025
Rainbow,www.userainbow.com,Social Network,United States,8000000.0,Series A,Jan 2025
Gravity,www.gravityclimate.com,Accounting,United States,13000000.0,Series A,Jan 2025
Ember Software,www.embersoftware.com,Cloud Computing,United States,10000000.0,Venture - Series Unknown,Jan 2025
