company_name,location,state,founding_year,data_source,website,description,funding,industry,tags
Amy Tai,San Francisco,CA,2024,DataSF API,,,,,
Angstrom Ai Inc.,San Francisco,CA,2025,DataSF API,,,,,
Appliance Repair SF,San Francisco,CA,2024,DataSF API,,,,,
Appreciation Coffee,San Francisco,CA,2025,DataSF API,,,,,
Appu Tattoos,San Francisco,CA,2025,DataSF API,,,,,
Aquatic Technology Pool & Spa,San Francisco,CA,2024,DataSF API,,,,,
Armored Air Heating & Air Conditioning,San Francisco,CA,2024,DataSF API,,,,,
Artist Liaison Agency,San Francisco,CA,2025,DataSF API,,,,,
Atlas Voice & Data LLC,San Francisco,CA,2024,DataSF API,,,,,
Avail Engineering,San Francisco,CA,2024,DataSF API,,,,,
Bamboo Nails,San Francisco,CA,2025,DataSF API,,,,,
Bay Area Mobile Diagnostics,San Francisco,CA,2025,DataSF API,,,,,
"Bay-Valley Painting, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Baytek Indoor Air Solutions,San Francisco,CA,2025,DataSF API,,,,,
"Bdo Digital, LLC",San Francisco,CA,2024,DataSF API,,,,,
Bear Paws Training & Animal Communication,San Francisco,CA,2024,DataSF API,,,,,
Ben Edmondson Building Maintenance Company,San Francisco,CA,2024,DataSF API,,,,,
Best Coast Sailing,San Francisco,CA,2024,DataSF API,,,,,
Better Hairdays,San Francisco,CA,2025,DataSF API,,,,,
"Blackhawk Painting, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Brightwright-Techcomm LLC,San Francisco,CA,2024,DataSF API,,,,,
Caias Cookies,San Francisco,CA,2024,DataSF API,,,,,
"Caias Cookies, LLC",San Francisco,CA,2024,DataSF API,,,,,
"Caitlin Odonnell, Psyd, Psychotherapy Inc.",San Francisco,CA,2024,DataSF API,,,,,
Caiye Huang,San Francisco,CA,2024,DataSF API,,,,,
Caldata Communications,San Francisco,CA,2025,DataSF API,,,,,
"California College Of Business, Science & Technology",San Francisco,CA,2025,DataSF API,,,,,
Calpro Construction & Painting,San Francisco,CA,2024,DataSF API,,,,,
"Capernaum Ai, Inc.",San Francisco,CA,2025,DataSF API,,,,,
"Capture Technologies A Division Of Identisys, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Caretech Innovations LLC,San Francisco,CA,2024,DataSF API,,,,,
Central Haight Market,San Francisco,CA,2024,DataSF API,,,,,
Chutikarn Sukmongkolchai,San Francisco,CA,2025,DataSF API,,,,,
Cje Heating And Air,San Francisco,CA,2024,DataSF API,,,,,
Claire Bonham-Carter,San Francisco,CA,2024,DataSF API,,,,,
Clarity Ai Research Inc,San Francisco,CA,2024,DataSF API,,,,,
Clearscope Technology Solutions,San Francisco,CA,2024,DataSF API,,,,,
Clinton Park Airbnb,San Francisco,CA,2024,DataSF API,,,,,
Cloud N Books Pc,San Francisco,CA,2025,DataSF API,,,,,
Cloud95,San Francisco,CA,2025,DataSF API,,,,,
"Cloudcruise, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Cloudxpress,San Francisco,CA,2024,DataSF API,,,,,
Cogent Infotech,San Francisco,CA,2024,DataSF API,,,,,
Comfort Home Heating & Air,San Francisco,CA,2025,DataSF API,,,,,
"Cooper Oates Air Conditioning, Inc.",San Francisco,CA,2025,DataSF API,,,,,
"Cordata Healthcare Innovations, Inc.",San Francisco,CA,2024,DataSF API,,,,,
D & F Mobile Truck Repair,San Francisco,CA,2024,DataSF API,,,,,
D Air Balance Inc,San Francisco,CA,2024,DataSF API,,,,,
Daily Accounting Services,San Francisco,CA,2024,DataSF API,,,,,
Dannys Hair Studio SF,San Francisco,CA,2025,DataSF API,,,,,
Dariyana Ukrainian Crepes,San Francisco,CA,2024,DataSF API,,,,,
Data Sync Communication Inc,San Francisco,CA,2024,DataSF API,,,,,
Dba Vetsentry/River City Data,San Francisco,CA,2024,DataSF API,,,,,
Deconvolute Ai Inc,San Francisco,CA,2024,DataSF API,,,,,
"Deepseq.Ai, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Diane Martinez - Certified Personal Trainer (Cpt),San Francisco,CA,2024,DataSF API,,,,,
Diego Data,San Francisco,CA,2024,DataSF API,,,,,
Digital Mobile Innovations LLC,San Francisco,CA,2024,DataSF API,,,,,
Dodirtys Security And Maintenance,San Francisco,CA,2025,DataSF API,,,,,
Done Right Heating And Air,San Francisco,CA,2024,DataSF API,,,,,
Draintek Plumbing Inc,San Francisco,CA,2025,DataSF API,,,,,
Dynamic Map Platform North America Inc,San Francisco,CA,2024,DataSF API,,,,,
Eckerts Mobile Phones,San Francisco,CA,2024,DataSF API,,,,,
Edgewood Contruction & Home Repair,San Francisco,CA,2024,DataSF API,,,,,
Ees Nails,San Francisco,CA,2025,DataSF API,,,,,
Eg Painting,San Francisco,CA,2024,DataSF API,,,,,
Eightai Inc.,San Francisco,CA,2024,DataSF API,,,,,
Elearning Lair Corp,San Francisco,CA,2025,DataSF API,,,,,
Erica Maissy,San Francisco,CA,2025,DataSF API,,,,,
Escobar Pro Painting Corp,San Francisco,CA,2025,DataSF API,,,,,
Evolve Digitally LLC,San Francisco,CA,2025,DataSF API,,,,,
Excellence Heating And Air,San Francisco,CA,2025,DataSF API,,,,,
"Expand Power Technologies, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Failup Management Advisory Inc,San Francisco,CA,2024,DataSF API,,,,,
Fairbrook,San Francisco,CA,2025,DataSF API,,,,,
Flagship Training,San Francisco,CA,2024,DataSF API,,,,,
Flagship Training Fidi,San Francisco,CA,2025,DataSF API,,,,,
Flare App Inc,San Francisco,CA,2025,DataSF API,,,,,
Flenser Entertainment Rights,San Francisco,CA,2025,DataSF API,,,,,
Foam Ai,San Francisco,CA,2024,DataSF API,,,,,
Fog City Detail,San Francisco,CA,2025,DataSF API,,,,,
Forte Fintech,San Francisco,CA,2025,DataSF API,,,,,
Forte Fintech LLC,San Francisco,CA,2025,DataSF API,,,,,
"Foundry Technologies, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Freemans Heating Air Conditioning & Electrical Services,San Francisco,CA,2024,DataSF API,,,,,
Friendly App Studio,San Francisco,CA,2024,DataSF API,,,,,
Furry Friends Dog Training,San Francisco,CA,2025,DataSF API,,,,,
Gaa Auto Repair And Body Shop,San Francisco,CA,2024,DataSF API,,,,,
Gaines Event Staffing,San Francisco,CA,2025,DataSF API,,,,,
Gateway Mountain Center,San Francisco,CA,2025,DataSF API,,,,,
"Gb Heating And Air, Inc",San Francisco,CA,2024,DataSF API,,,,,
General Hvac Electric And Appliance Repair,San Francisco,CA,2024,DataSF API,,,,,
"Go Technology Management, LLC",San Francisco,CA,2025,DataSF API,,,,,
Golden Bear Heating And Air,San Francisco,CA,2024,DataSF API,,,,,
"Golden State Training, LLC",San Francisco,CA,2025,DataSF API,,,,,
Gp Mobile Solutions LLC,San Francisco,CA,2025,DataSF API,,,,,
Green Windows Repairs,San Francisco,CA,2025,DataSF API,,,,,
Gregory Training Center,San Francisco,CA,2025,DataSF API,,,,,
Haight Street Eyecare,San Francisco,CA,2025,DataSF API,,,,,
Hair By Becca LLC,San Francisco,CA,2025,DataSF API,,,,,
Hair By The Ts Misty,San Francisco,CA,2024,DataSF API,,,,,
Hair Caffe Lab,San Francisco,CA,2025,DataSF API,,,,,
Hairglim Beauty,San Francisco,CA,2024,DataSF API,,,,,
Hairsbybren,San Francisco,CA,2024,DataSF API,,,,,
Hand Wash Detailing SF,San Francisco,CA,2024,DataSF API,,,,,
Happy Cozy Rental,San Francisco,CA,2024,DataSF API,,,,,
Happy Junk Truck,San Francisco,CA,2024,DataSF API,,,,,
Happy Patches LLC,San Francisco,CA,2024,DataSF API,,,,,
Happy Poke,San Francisco,CA,2024,DataSF API,,,,,
Happy Teachers,San Francisco,CA,2024,DataSF API,,,,,
Happy Tots Sf Daycare,San Francisco,CA,2025,DataSF API,,,,,
Hawkeye Safety Training,San Francisco,CA,2025,DataSF API,,,,,
Heat Technology Products,San Francisco,CA,2024,DataSF API,,,,,
Heating And Air Design,San Francisco,CA,2025,DataSF API,,,,,
Hero Auto Detailing,San Francisco,CA,2025,DataSF API,,,,,
"Hi-Lite Airfield Services, LLC",San Francisco,CA,2024,DataSF API,,,,,
High-Growth Digital,San Francisco,CA,2025,DataSF API,,,,,
Home Front Heating And Air Conditioning Inc,San Francisco,CA,2024,DataSF API,,,,,
Hometown Heating & Air,San Francisco,CA,2024,DataSF API,,,,,
Humantech,San Francisco,CA,2024,DataSF API,,,,,
Hung Mai Corporation Dba Floor Pros,San Francisco,CA,2025,DataSF API,,,,,
"Hydra Technologies, LLC",San Francisco,CA,2024,DataSF API,,,,,
In Place Technology Inc,San Francisco,CA,2024,DataSF API,,,,,
Informa Tech LLC,San Francisco,CA,2024,DataSF API,,,,,
Innovatics Ai LLC,San Francisco,CA,2025,DataSF API,,,,,
Insul-Tech Contracting,San Francisco,CA,2025,DataSF API,,,,,
Iz Painting,San Francisco,CA,2025,DataSF API,,,,,
Jackdanyels Mobile Car Wash And Detailing,San Francisco,CA,2024,DataSF API,,,,,
Jairo A Medina Mayorga,San Francisco,CA,2025,DataSF API,,,,,
Jamila Voltaire,San Francisco,CA,2024,DataSF API,,,,,
Jb Painting,San Francisco,CA,2024,DataSF API,,,,,
Joannabuksahair,San Francisco,CA,2024,DataSF API,,,,,
Js Information Technology Solutions LLC,San Francisco,CA,2024,DataSF API,,,,,
Js Technology Ventures Inc,San Francisco,CA,2024,DataSF API,,,,,
Junaid Basir Reinforce,San Francisco,CA,2024,DataSF API,,,,,
K&K Nail Studio,San Francisco,CA,2024,DataSF API,,,,,
Kai Morgan,San Francisco,CA,2025,DataSF API,,,,,
Kaili Beauty Nail Salon,San Francisco,CA,2024,DataSF API,,,,,
Kailie Barnes,San Francisco,CA,2024,DataSF API,,,,,
Kenia Beauty Nails,San Francisco,CA,2024,DataSF API,,,,,
"Kino Ai, Inc.",San Francisco,CA,2024,DataSF API,,,,,
"Kitchen Cabinet Public Affairs Group, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Kmosaic,San Francisco,CA,2025,DataSF API,,,,,
Laila Fernanda Vivas Maline Sarmadi,San Francisco,CA,2024,DataSF API,,,,,
"Laketech Solutions, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Lauren Elisa Face Painting,San Francisco,CA,2025,DataSF API,,,,,
"Law Office Of Christy Lai, P.C.",San Francisco,CA,2024,DataSF API,,,,,
Le Nain,San Francisco,CA,2025,DataSF API,,,,,
Leafair Construction Inc,San Francisco,CA,2025,DataSF API,,,,,
Leico Tire & Auto Repair,San Francisco,CA,2025,DataSF API,,,,,
Leksi Paints,San Francisco,CA,2024,DataSF API,,,,,
Leshchinskaia Music,San Francisco,CA,2025,DataSF API,,,,,
Ligier Entertainment Inc.,San Francisco,CA,2025,DataSF API,,,,,
"Linkup Mobile, Inc.",San Francisco,CA,2024,DataSF API,,,,,
"Liquidmetal Ai, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Live Guard Tech LLC,San Francisco,CA,2024,DataSF API,,,,,
"Loqi Applications, LLC",San Francisco,CA,2024,DataSF API,,,,,
Lucidic Ai,San Francisco,CA,2025,DataSF API,,,,,
Luckyxhair,San Francisco,CA,2025,DataSF API,,,,,
Luke Moody Ai,San Francisco,CA,2024,DataSF API,,,,,
"Luminator Technology Group Global, LLC",San Francisco,CA,2024,DataSF API,,,,,
Lunarlanding.Ai,San Francisco,CA,2025,DataSF API,,,,,
"Macano Tech, LLC",San Francisco,CA,2024,DataSF API,,,,,
Made Simple Heating And Air Inc.,San Francisco,CA,2024,DataSF API,,,,,
Mai Bodywork,San Francisco,CA,2025,DataSF API,,,,,
Maigane Music,San Francisco,CA,2024,DataSF API,,,,,
Maison Assist,San Francisco,CA,2025,DataSF API,,,,,
Maison Au Pont Owners Association,San Francisco,CA,2024,DataSF API,,,,,
Maison De Vertu,San Francisco,CA,2024,DataSF API,,,,,
Maison Eureka,San Francisco,CA,2025,DataSF API,,,,,
"Maiten Consulting, LLC",San Francisco,CA,2025,DataSF API,,,,,
Mantech (Usa) Inc.,San Francisco,CA,2024,DataSF API,,,,,
Marina Auto Detail,San Francisco,CA,2024,DataSF API,,,,,
Mb Painting Company,San Francisco,CA,2024,DataSF API,,,,,
Mbh Residential Cleaning And Maintenance Services,San Francisco,CA,2025,DataSF API,,,,,
Memos Painters LLC,San Francisco,CA,2025,DataSF API,,,,,
Metaintels LLC,San Francisco,CA,2024,DataSF API,,,,,
Metro Mobile Communications,San Francisco,CA,2024,DataSF API,,,,,
Miguel Painting,San Francisco,CA,2025,DataSF API,,,,,
Mindfulfairy Foundation,San Francisco,CA,2025,DataSF API,,,,,
Mobetta Entertainment,San Francisco,CA,2025,DataSF API,,,,,
"Mosaic Ai Labs, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Mosaic Global Transportation,San Francisco,CA,2025,DataSF API,,,,,
Mosaic Public Partners LLC,San Francisco,CA,2024,DataSF API,,,,,
Mountain Microgrids,San Francisco,CA,2024,DataSF API,,,,,
Mova.Ai,San Francisco,CA,2025,DataSF API,,,,,
Nail Dar,San Francisco,CA,2024,DataSF API,,,,,
Nail It SF,San Francisco,CA,2024,DataSF API,,,,,
Nailart Fairytale,San Francisco,CA,2024,DataSF API,,,,,
Nails 2001,San Francisco,CA,2024,DataSF API,,,,,
New Image Hairstyling,San Francisco,CA,2025,DataSF API,,,,,
Nicolas Protopappas,San Francisco,CA,2024,DataSF API,,,,,
"Nonna App, LLC",San Francisco,CA,2024,DataSF API,,,,,
Norcal Maid Cleaning Services,San Francisco,CA,2024,DataSF API,,,,,
Novas Airbnb,San Francisco,CA,2024,DataSF API,,,,,
Omnithink.Ai Inc.,San Francisco,CA,2024,DataSF API,,,,,
Onedigital,San Francisco,CA,2024,DataSF API,,,,,
Organization Technology,San Francisco,CA,2024,DataSF API,,,,,
Oscar Areas Mobile Auto Repair,San Francisco,CA,2024,DataSF API,,,,,
"Oui, Si, Hai LLC",San Francisco,CA,2024,DataSF API,,,,,
Paige Mclaughlin,San Francisco,CA,2025,DataSF API,,,,,
Par Apparel LLC,San Francisco,CA,2024,DataSF API,,,,,
"Paratus Ai, Inc",San Francisco,CA,2024,DataSF API,,,,,
Patronus Ai,San Francisco,CA,2025,DataSF API,,,,,
Pauls Mobile Detailing Inc,San Francisco,CA,2024,DataSF API,,,,,
Peachy Nails,San Francisco,CA,2024,DataSF API,,,,,
Peerless Digital Services,San Francisco,CA,2024,DataSF API,,,,,
"Perfect Pairing Trading, LLC.",San Francisco,CA,2024,DataSF API,,,,,
Perfect Star Heating & Air Conditioning,San Francisco,CA,2025,DataSF API,,,,,
Phone & Computer Repair 23rd,San Francisco,CA,2024,DataSF API,,,,,
Phone Repair,San Francisco,CA,2024,DataSF API,,,,,
Precision Strength Training,San Francisco,CA,2025,DataSF API,,,,,
Premier Hair Solutions,San Francisco,CA,2024,DataSF API,,,,,
Prestige Custom Painting Inc,San Francisco,CA,2024,DataSF API,,,,,
Pretty Art Nail & Beauty Spa,San Francisco,CA,2025,DataSF API,,,,,
"Primal Paint, Inc.",San Francisco,CA,2024,DataSF API,,,,,
"Propel Platform, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Pulidos Painting,San Francisco,CA,2025,DataSF API,,,,,
Puzz.Ai,San Francisco,CA,2025,DataSF API,,,,,
"Quantum Energy Services & Technologies, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Queue Happy Inspirations,San Francisco,CA,2025,DataSF API,,,,,
Quevedo Painting,San Francisco,CA,2024,DataSF API,,,,,
Quick Fix Garage Door Repair Inc,San Francisco,CA,2024,DataSF API,,,,,
Rainbow Beauty Spa,San Francisco,CA,2025,DataSF API,,,,,
Rainbow Market And Deli,San Francisco,CA,2025,DataSF API,,,,,
Rc Maintenance Holdings Inc,San Francisco,CA,2024,DataSF API,,,,,
Rebecca Wraxall Hair,San Francisco,CA,2025,DataSF API,,,,,
Rebelretailers,San Francisco,CA,2025,DataSF API,,,,,
Removaldefense.Ai,San Francisco,CA,2024,DataSF API,,,,,
Revic Ai Inc,San Francisco,CA,2024,DataSF API,,,,,
Richmond District Jewelry Repair,San Francisco,CA,2024,DataSF API,,,,,
Ridea Painting,San Francisco,CA,2025,DataSF API,,,,,
"Riley Ai, Inc.",San Francisco,CA,2025,DataSF API,,,,,
"Riveter Ai, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Rockstar Iphone Ipad Samsung Mac Laptop & Electronics Repair,San Francisco,CA,2024,DataSF API,,,,,
Rotor Digital Services,San Francisco,CA,2024,DataSF API,,,,,
Roundabout Technologies,San Francisco,CA,2024,DataSF API,,,,,
Rous Maintenance Services LLC,San Francisco,CA,2025,DataSF API,,,,,
Running With Abigail LLC,San Francisco,CA,2025,DataSF API,,,,,
Rush Air Mechanical,San Francisco,CA,2024,DataSF API,,,,,
Said & Done Projects,San Francisco,CA,2025,DataSF API,,,,,
Sandpail Productions,San Francisco,CA,2025,DataSF API,,,,,
Sandy Ai,San Francisco,CA,2025,DataSF API,,,,,
Sandy Health Ai,San Francisco,CA,2025,DataSF API,,,,,
"Scrubz Apparel Supplies 2024 Unlimited, LLC",San Francisco,CA,2024,DataSF API,,,,,
"Securus Technologies, LLC",San Francisco,CA,2025,DataSF API,,,,,
Service King Air,San Francisco,CA,2024,DataSF API,,,,,
Sf House Of Nails,San Francisco,CA,2025,DataSF API,,,,,
Sf House Of Nails Pierce Inc,San Francisco,CA,2025,DataSF API,,,,,
Shannon Cairns,San Francisco,CA,2025,DataSF API,,,,,
Silver Apple LLC,San Francisco,CA,2024,DataSF API,,,,,
Silver Cloud,San Francisco,CA,2024,DataSF API,,,,,
Sinclair Domestic Services,San Francisco,CA,2024,DataSF API,,,,,
Slightly Straight Stud Construction,San Francisco,CA,2025,DataSF API,,,,,
Smarketing Technologies Corporation,San Francisco,CA,2025,DataSF API,,,,,
Smart & Beyond Painting Inc,San Francisco,CA,2025,DataSF API,,,,,
"So Does Nails, Inc",San Francisco,CA,2024,DataSF API,,,,,
Solar Tech Collective LLC,San Francisco,CA,2024,DataSF API,,,,,
Solis Ai And Data Transformation Services,San Francisco,CA,2024,DataSF API,,,,,
Somo Ai Inc,San Francisco,CA,2024,DataSF API,,,,,
Sophia Nail Spa,San Francisco,CA,2024,DataSF API,,,,,
Soulful Web Design Studio,San Francisco,CA,2025,DataSF API,,,,,
Sparkl Sustainable Solutions Dba Sparkl Reusables,San Francisco,CA,2024,DataSF API,,,,,
Steps Towards Faith,San Francisco,CA,2024,DataSF API,,,,,
Stoic Tech,San Francisco,CA,2024,DataSF API,,,,,
Straightedge Handyman Service And Solutions,San Francisco,CA,2025,DataSF API,,,,,
Sun & Shield Tech Services,San Francisco,CA,2024,DataSF API,,,,,
Sunset Painting,San Francisco,CA,2024,DataSF API,,,,,
Susie Thai Massage,San Francisco,CA,2024,DataSF API,,,,,
T & H Painting Company,San Francisco,CA,2024,DataSF API,,,,,
Tacos El Shaddai,San Francisco,CA,2025,DataSF API,,,,,
Tailwinds,San Francisco,CA,2025,DataSF API,,,,,
Tailwinds Advisory,San Francisco,CA,2025,DataSF API,,,,,
Taishan Cuisine,San Francisco,CA,2024,DataSF API,,,,,
Taishan Cuisine Second,San Francisco,CA,2024,DataSF API,,,,,
Taishan Cuisine The 5th One,San Francisco,CA,2024,DataSF API,,,,,
Taishan Food Gift Shop,San Francisco,CA,2025,DataSF API,,,,,
Taishan Restaurant,San Francisco,CA,2024,DataSF API,,,,,
Taishan Specialty,San Francisco,CA,2024,DataSF API,,,,,
Taldea Services And Maintenance,San Francisco,CA,2025,DataSF API,,,,,
Teixeira Training,San Francisco,CA,2024,DataSF API,,,,,
"Terrace Biotech, LLC",San Francisco,CA,2024,DataSF API,,,,,
Tetelestai Painting Corporation,San Francisco,CA,2024,DataSF API,,,,,
The Ai Receptionist Agency,San Francisco,CA,2025,DataSF API,,,,,
The Creation Painting Inc.,San Francisco,CA,2024,DataSF API,,,,,
The Daisy Foundation,San Francisco,CA,2025,DataSF API,,,,,
"The Main Post, Inc",San Francisco,CA,2025,DataSF API,,,,,
Three Soles Inc. Dba Trainor Builders,San Francisco,CA,2024,DataSF API,,,,,
Tie Dye By Gail,San Francisco,CA,2024,DataSF API,,,,,
Toc Painting,San Francisco,CA,2024,DataSF API,,,,,
Tom Praisan,San Francisco,CA,2025,DataSF API,,,,,
Toorialai Naeem,San Francisco,CA,2024,DataSF API,,,,,
Top Hair Care LLC,San Francisco,CA,2024,DataSF API,,,,,
Trachawk Painting Co,San Francisco,CA,2024,DataSF API,,,,,
"Tri Valley Hvac LLC, Dba Aireserv Of Pleasanton",San Francisco,CA,2024,DataSF API,,,,,
Ts Nail & Lash Spa,San Francisco,CA,2024,DataSF API,,,,,
Ts Nail&Lash LLC,San Francisco,CA,2024,DataSF API,,,,,
Turner Auctions + Appraisals LLC,San Francisco,CA,2025,DataSF API,,,,,
"Tusk Ai, Inc.",San Francisco,CA,2025,DataSF API,,,,,
Unsloth Ai,San Francisco,CA,2024,DataSF API,,,,,
Unsloth Ai Inc.,San Francisco,CA,2024,DataSF API,,,,,
"Usa Digital Communications, Inc",San Francisco,CA,2024,DataSF API,,,,,
"Vanguard Smoke & Fire Curtains, Inc.",San Francisco,CA,2024,DataSF API,,,,,
Vista Mobile Urgent Care Inc,San Francisco,CA,2024,DataSF API,,,,,
Vroomdetail,San Francisco,CA,2025,DataSF API,,,,,
Wai Ahead LLC,San Francisco,CA,2025,DataSF API,,,,,
Wainaku Strategy Group,San Francisco,CA,2025,DataSF API,,,,,
Wastech Corporation,San Francisco,CA,2024,DataSF API,,,,,
"Weedn Public Affairs, LLC",San Francisco,CA,2025,DataSF API,,,,,
Whiskertails,San Francisco,CA,2024,DataSF API,,,,,
Wong Tai Sen Temple & Services Inc,San Francisco,CA,2024,DataSF API,,,,,
Yeji Cuts Hair,San Francisco,CA,2025,DataSF API,,,,,
Yellow Orchid Nail Spa,San Francisco,CA,2025,DataSF API,,,,,
Yishai Lerner Consulting,San Francisco,CA,2024,DataSF API,,,,,
Your Happy Place LLC,San Francisco,CA,2024,DataSF API,,,,,
Z & F Maintenance LLC,San Francisco,CA,2025,DataSF API,,,,,
Zorina Nail Studio,San Francisco,CA,2024,DataSF API,,,,,
