uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,business_corridor,location_end_date,dba_end_date
1382941-03-251-1167491,1382941-03-251,1167491,Elegancia Builders Inc,Elegancia Builders Inc,2317 7th Ave,Oakland,CA,94606,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,2317 7th Ave,Oakland,94606,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.243625625, 37.8006841]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382919-03-251-1167481,1382919-03-251,1167481,Zion Electric Inc.,Zion Electric Inc.,1522 165th Ave,San Leandro,CA,94578,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,1522 165th Ave,San Leandro,94578,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.10941895, 37.695012734]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382952-03-251-1167496,1382952-03-251,1167496,D And V Construction Inc,D And V Construction Inc,3251 6th St,Clearlake,CA,95422,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,3251 6th St,Clearlake,95422,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.658839208, 38.975395886]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382903-03-251-1167473,1382903-03-251,1167473,Luis Carlos Arreola-Ruiz,Chevio's Food Truck,388 Potrero Ave,San Francisco,CA,94103,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,416 Mountain Meadows Dr,Fairfield,94534,CA,7220-7229,Food Services,Food Services,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.4077985, 37.764765]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382949-03-251-1167495,1382949-03-251,1167495,Brady Sivongxay,Brady Energy,12157 Loma Rica Rd,Marysville,CA,95901,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,12157 Loma Rica Rd,Marysville,95901,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-121.376569626, 39.336645896]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382957-03-251-1167498,1382957-03-251,1167498,Bert Brautigam,Pongis Games,766 Sutter St Apt 32,San Francisco,CA,94109,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,766 Sutter St Apt 32,San Francisco,94109,CA,7100-7199,"Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation",False,False,3,Nob Hill,"{'type': 'Point', 'coordinates': [-122.4131355, 37.788939]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382917-03-251-1167480,1382917-03-251,1167480,Gorden Construction,Gorden Construction,530 Faxon Ave,San Francisco,CA,94112,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,322 Aviador Ave,Millbrae,94030,CA,2300-2399,Construction,Construction,False,False,11,Oceanview/Merced/Ingleside,"{'type': 'Point', 'coordinates': [-122.459931, 37.724112]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382882-03-251-1167465,1382882-03-251,1167465,Scott Trudel,Scott Trudel,520 Lancaster Ave,Moss Beach,CA,94038,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,520 Lancaster Ave,Moss Beach,94038,CA,2300-2399,Construction,Construction,False,False,,,,2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382928-03-251-1167485,1382928-03-251,1167485,"New Horizons Consulting, LLC","New Horizons Consulting, LLC",4107 Folsom St Unit A,San Francisco,CA,94110,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,4107 Folsom St Unit A,San Francisco,94110,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,9,Bernal Heights,"{'type': 'Point', 'coordinates': [-122.413419, 37.735785]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382935-03-251-1167488,1382935-03-251,1167488,Rene Chan Chan,Rene's Hood Cleaning,4788 Mission St,San Francisco,CA,94112,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,4788 Mission St,San Francisco,94112,CA,5600-5699,Administrative and Support Services,Administrative and Support Services,False,False,11,Outer Mission,"{'type': 'Point', 'coordinates': [-122.43762, 37.721538]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,Mission Street,,
1382898-03-251-1167471,1382898-03-251,1167471,Matthew Salazar,Matthew Salazar,63 6th St,San Francisco,CA,94103,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,2791 16th St # 35,San Francisco,94103,CA,4400-4599,Retail Trade,Retail Trade,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.40931351, 37.781488374]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382907-03-251-1167475,1382907-03-251,1167475,Gogi Bbq House LLC,Gogi Bbq House LLC,1358 9th Ave,San Francisco,CA,94122,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,2652 Judah St,San Francisco,94122,CA,7220-7229,Food Services,Food Services,False,False,7,Inner Sunset,"{'type': 'Point', 'coordinates': [-122.465925, 37.763028]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382893-03-251-1167469,1382893-03-251,1167469,Humble Leader LLC,Humble Leader,166 Geary St 15th Fl #102,San Francisco,CA,94108,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,166 Geary St 15th Fl #102,San Francisco,94108,CA,4400-4599,Retail Trade,Retail Trade,False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.4061335, 37.787769]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382913-03-251-1167478,1382913-03-251,1167478,9jagrills,9jagrills,1319 Washington Ave Unit 123,San Leandro,CA,94577,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,1319 Washington Ave Unit 1231,San Leandro,94577,CA,7220-7229,Food Services,Food Services,False,False,,,"{'type': 'Point', 'coordinates': [-122.156690034, 37.724126981]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382926-03-251-1167484,1382926-03-251,1167484,Diego Espinoza,Diego Espinoza,3232 Divisadero St,San Francisco,CA,94123,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,3232 Divisadero St,San Francisco,94123,CA,7210-7219,Accommodations,Accommodations,False,True,2,Marina,"{'type': 'Point', 'coordinates': [-122.442426, 37.799523]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382884-03-251-1167466,1382884-03-251,1167466,Mexi-Cali Grill Inc,Mexi-Cali,103 Horne Ave,San Francisco,CA,94124,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,1500 Judah St Apt 11,San Francisco,94122,CA,7220-7229,Food Services,Food Services,False,False,10,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.3656245, 37.726596]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382891-03-251-1167468,1382891-03-251,1167468,Hung Mai Corporation,Hung Mai Corporation Dba Floor Pros,121 S Maple Ave Ste 1,South San Francisco,CA,94080,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,121 S Maple Ave Ste 1,South San Francisco,94080,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.413914717, 37.649025967]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382934-03-251-1167487,1382934-03-251,1167487,David Jones,Otto Duke Pac,2517 Mission St Ste 7,San Francisco,CA,94110,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,2517 Mission St Ste 7,San Francisco,94110,CA,,,,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.418531, 37.756755]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382822-03-251-1167443,1382822-03-251,1167443,Angel Electric,Angel Electric,1755 Post Ave,San Pablo,CA,94806,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,1755 Post Ave,San Pablo,94806,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.351720325, 37.957592657]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382791-03-251-1167429,1382791-03-251,1167429,First Step Builders,First Step Builders,6047 Tampa Ave # Suit,Reseda,CA,91356,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,6047 Tampa Ave # Suit,Reseda,91356,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-118.553761811, 34.18080704]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382815-03-251-1167440,1382815-03-251,1167440,"Valyn Health, Inc.","Valyn Health, Inc.",361 Texas St,San Francisco,CA,94107,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,361 Texas St,San Francisco,94107,CA,,,,False,False,10,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.395185, 37.761849]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382830-03-251-1167446,1382830-03-251,1167446,Mercy Housing California X,Mercy Housing California X,125 6th Street St,San Francisco,CA,94103,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,1256 Market Street St,San Francisco,94102,CA,5300-5399,Real Estate and Rental and Leasing Services,Real Estate and Rental and Leasing Services,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.4080685, 37.780866]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,Central Market,,
1382971-03-251-1167505,1382971-03-251,1167505,Feibe Treats & More,Feibe Treaats & More,126 Argonaut Ave,San Francisco,CA,94134,2025-03-06T00:00:00.000,2025-03-08T00:00:00.000,126 Argonaut Ave,San Francisco,94134,CA,4400-4599 5300-5399,Multiple,Retail Trade; Real Estate and Rental and Leasing Services,False,False,10,Visitacion Valley,"{'type': 'Point', 'coordinates': [-122.414814, 37.710909]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382813-03-251-1167439,1382813-03-251,1167439,Hannah Luedtke,Hannah Luedtke,2341 Chestnut St Apt 104,San Francisco,CA,94123,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,2341 Chestnut St Apt 104,San Francisco,94123,CA,5400-5499 6100-6299,Multiple,"Professional, Scientific, and Technical Services; Private Education and Health Services",False,False,2,Marina,"{'type': 'Point', 'coordinates': [-122.44194, 37.799811]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382841-03-251-1167451,1382841-03-251,1167451,Wen Li Lin,Wen Clothing,100 Alemany Blvd,San Francisco,CA,94110,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,1150 3rd St Apt 426,San Francisco,94158,CA,,,,False,False,9,Bernal Heights,"{'type': 'Point', 'coordinates': [-122.4090045, 37.736847]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382785-03-251-1167426,1382785-03-251,1167426,Mdrc,Mdrc,200 Vesey St Fl 23,New York,NY,10281,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,200 Vesey St Fl 23,New York,10281,NY,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,"{'type': 'Point', 'coordinates': [-74.014695303, 40.713919741]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382868-03-251-1167461,1382868-03-251,1167461,Anumeha Shukla,Priha,209 Molimo Dr,San Francisco,CA,94127,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,209 Molimo Dr,San Francisco,94127,CA,4400-4599,Retail Trade,Retail Trade,False,False,7,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.4495585, 37.736901]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382866-03-251-1167460,1382866-03-251,1167460,Draintek Plumbing Inc,Draintek Plumbing Inc,2410 Olympic Dr,South San Francisco,CA,94080,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,2410 Olympic Dr,South San Francisco,94080,CA,2200-2299 2300-2399,Multiple,Utilities; Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.454573904, 37.640402707]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382847-03-251-1167453,1382847-03-251,1167453,Luci N Mendoza Gonzales,Ethan Cleaning Services,1950 Mission St Apt 811,San Francisco,CA,94103,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,1950 Mission St Apt 811,San Francisco,94103,CA,5600-5699,Administrative and Support Services,Administrative and Support Services,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.420223, 37.765854]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382807-03-251-1167437,1382807-03-251,1167437,Yonghong Huang,Xfg,280 Spear St Unit 26b,San Francisco,CA,94105,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,280 Spear St 2602,San Francisco,94105,CA,4400-4599,Retail Trade,Retail Trade,False,False,6,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.391549, 37.790334]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382828-03-251-1167445,1382828-03-251,1167445,Mavirus Group LLC,Mavirus Group LLC,3714 N Valentine Ave Ave,Fresno,CA,93722,2025-03-06T00:00:00.000,2025-03-06T00:00:00.000,3714 N. Valentin N Valentine Ave,Fresno,93722,CA,,,,False,False,,,"{'type': 'Point', 'coordinates': [-119.853126537, 36.792139437]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382923-03-251-1167483,1382923-03-251,1167483,"P&N Kitchen, LLC",Wildly Sourdough,2701 Leavenworth St,San Francisco,CA,94133,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,2085 E Bayshore Rd Unit 51702,East Palo Alto,94303,CA,7220-7229,Food Services,Food Services,False,False,3,Russian Hill,"{'type': 'Point', 'coordinates': [-122.4189315, 37.806111]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382762-03-251-1167417,1382762-03-251,1167417,Bad Real Estate LLC,Bad Real Estate LLC,1 Henry Adams St Unit N41,San Francisco,CA,94103,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,1 Henry Adams St Unit N413,San Francisco,94103,CA,7210-7219,Accommodations,Accommodations,False,True,6,Mission Bay,"{'type': 'Point', 'coordinates': [-122.4034875, 37.769202]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382834-03-251-1167448,1382834-03-251,1167448,Joelle Roup,Wannasauna SF,1212 El Cide Ct,Mill Valley,CA,94941,2025-03-05T00:00:00.000,2025-03-06T00:00:00.000,1212 El Cide Ct,Mill Valley,94941,CA,7100-7199,"Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation",False,False,,,"{'type': 'Point', 'coordinates': [-122.54300533, 37.889222437]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382743-03-251-1167409,1382743-03-251,1167409,Felipe Alberto Velez Perez,Capa Corporate Animal Care,44 Montgomery St,San Francisco,CA,94104,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,9655 Starr Rd,Windsor,95492,CA,,,,False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401782, 37.789812]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382860-03-251-1167458,1382860-03-251,1167458,New King LLC,Sunflower Spa,2809 San Bruno Ave,San Francisco,CA,94134,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,2809 San Bruno Ave,San Francisco,94134,CA,6100-6299,Private Education and Health Services,Private Education and Health Services,False,False,9,Portola,"{'type': 'Point', 'coordinates': [-122.4027585, 37.726263]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,San Bruno Ave,,
1382744-03-251-1167409,1382744-03-251,1167409,Felipe Alberto Velez Perez,Aciif Ai Forensics Celta Academy,44 Montgomery St,San Francisco,CA,94104,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,9655 Starr Rd,Windsor,95492,CA,,,,False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401782, 37.789812]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382716-03-251-1167400,1382716-03-251,1167400,Kc Kitchen And Bath Builder,Kc Kitchen And Bath Builder,9 Park Crest Ct Apt D,Novato,CA,94947,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,9 Park Crest Ct Apt D,Novato,94947,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.55640003, 38.08705002]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382694-03-251-1167393,1382694-03-251,1167393,Indaspec LLC,Indaspec LLC,976 S First St,San Jose,CA,95110,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,976 S First St,San Jose,95110,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-121.878934634, 37.321781925]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382817-03-251-1167441,1382817-03-251,1167441,Bright Light Cleaing,Bright Light Cleaning,500 Alemany Blvd,San Francisco,CA,94110,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,500 Alemany Blvd,San Francisco,94110,CA,5600-5699,Administrative and Support Services,Administrative and Support Services,False,False,9,Bernal Heights,"{'type': 'Point', 'coordinates': [-122.416632, 37.732779]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382733-03-251-1167406,1382733-03-251,1167406,Dickinson Construction,Dickinson Construction,201 Richmond Dr Apt A,Millbrae,CA,94030,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,201 Richmond Dr Apt A,Millbrae,94030,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.398328065, 37.601685481]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382711-03-251-1167398,1382711-03-251,1167398,Net Ninja Communications Inc,Net Ninja Communications Inc,17070 Danbury Ave,Hesperia,CA,92345,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,17070 Danbury Ave,Hesperia,92345,CA,2200-2299 2300-2399,Multiple,Utilities; Construction,False,False,,,"{'type': 'Point', 'coordinates': [-117.290601291, 34.391652515]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382735-03-251-1167407,1382735-03-251,1167407,"Paul Aboumrad, General Contractor","Paul Aboumrad, General Contractor",42000 Pico Rd,Fremont,CA,94539,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,42000 Pico Rd,Fremont,94539,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-121.925314303, 37.549143018]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382754-03-251-1167413,1382754-03-251,1167413,Tend Studio LLC,Tend Studio LLC,601 Minnesota St Apt 120,San Francisco,CA,94107,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,601 Minnesota St Apt 120,San Francisco,94107,CA,5400-5499 7100-7199,Multiple,"Professional, Scientific, and Technical Services; Arts, Entertainment, and Recreation",False,False,10,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.390388, 37.762542]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382824-03-251-1167444,1382824-03-251,1167444,Linnette Marie Haynes,Healing For Generations,4104 24th St Ste 964,San Francisco,CA,94114,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,4104 24th St Ste 964,San Francisco,94114,CA,6100-6299,Private Education and Health Services,Private Education and Health Services,False,False,8,Noe Valley,"{'type': 'Point', 'coordinates': [-122.4343935, 37.751445]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,24th St,,
1382680-03-251-1167388,1382680-03-251,1167388,Quality Galore LLC,Quality Galore LLC,18117 Biscayne Blvd,Aventura,FL,33160,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,18117 Biscayne Blvd Ste 61795,Miami,33160,FL,4400-4599 7220-7229,Multiple,Retail Trade; Food Services,False,False,,,"{'type': 'Point', 'coordinates': [-80.147695383, 25.942762469]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382730-03-251-1167405,1382730-03-251,1167405,Porticade Energy Dba Action Solar,Action Solar,525 S 850 E St Ste 10,Lehi,UT,84043,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,525 S 850 St E Ste 10,Lehi,84043,UT,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-111.834314164, 40.381935188]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382742-03-251-1167409,1382742-03-251,1167409,Felipe Alberto Velez Perez,Felipe Velez Law Firm,44 Montgomery St,San Francisco,CA,94104,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,9655 Starr Rd,Windsor,95492,CA,,,,False,False,3,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.401782, 37.789812]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382727-03-251-1167404,1382727-03-251,1167404,Innovation Roofing Inc.,Innovation Roofing Inc.,266 Christopher Michael Ln,Tracy,CA,95377,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,266 Christopher Michael Ln,Tracy,95377,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-121.422425006, 37.701080017]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382721-03-251-1167401,1382721-03-251,1167401,Camilo Pico,Camilo Pico Private Chef,1545 Eddy St Apt 416,San Francisco,CA,94115,2025-03-05T00:00:00.000,2025-03-05T00:00:00.000,1545 Eddy St Apt 416,San Francisco,94115,CA,7100-7199 8100-8139,Multiple,"Arts, Entertainment, and Recreation; Certain Services",False,False,5,Western Addition,"{'type': 'Point', 'coordinates': [-122.4330705, 37.780866]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,Fillmore Street (Lower),,
1382603-03-251-1167352,1382603-03-251,1167352,Nanthana Sorathorn,Zabb Cuisine,4440 Mission St,San Francisco,CA,94112,2025-03-04T00:00:00.000,2025-03-04T00:00:00.000,4440 Mission St,San Francisco,94112,CA,7220-7229,Food Services,Food Services,False,False,11,Outer Mission,"{'type': 'Point', 'coordinates': [-122.4337095, 37.726632]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,Mission Street,,
