ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,location_end_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,parking_tax,transient_occupancy_tax,lic,lic_code_description,supervisor_district,neighborhoods_analysis_boundaries,dba_end_date,business_corridor
0008500-01-001,0008500,Chinese General Peace Assn,Chinese General Peace Assn,48 A Spofford St,San Francisco,CA,94108,1968-10-01T00:00:00.000,1968-10-01T00:00:00.000,,48a Spofford St,San Francisco,94108,CA,7210-7219,Accommodations,False,True,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,Chinatown
1134888-02-171,1021730,Guillermo Leon Garcia,Park View Studio In North Beach,535 Columbus Ave Apt 23a,San Francisco,CA,94133,2015-11-09T00:00:00.000,2017-02-01T00:00:00.000,2017-04-02T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-08-01T00:00:00.000,North Beach
0353380-01-001,0353380,Ju Jennifer,1013-1015 Stockton St Building,1013- 1015 Stockton St,San Francisco,CA,94133,1999-09-14T00:00:00.000,1999-09-14T00:00:00.000,,271 15th Ave,San Francisco,94118,CA,7210-7219,Accommodations,False,False,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,
1353676-02-241,0421763,Resort Rental LLC,Club Quarters Hotel,432 Clay St,San Francisco,CA,94111,2006-01-01T00:00:00.000,2024-01-01T00:00:00.000,,6277 Sea Harbor Dr,Orlando,32821,FL,7210-7219,Accommodations,False,True,,,3,Chinatown,,
0060906-01-001,0060906,Justice Investors Lp,Justice Investors,750 Kearny St Ll,San Francisco,CA,94108,1970-12-07T00:00:00.000,1996-02-14T00:00:00.000,1996-02-14T00:00:00.000,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,False,D03 D04 D19 D26 H26 HHH,Multiple,3,Chinatown,,Chinatown
1136786-02-171,1065770,Tina Pao,Stone Street Apartment,15 Stone St,San Francisco,CA,94108,2017-02-01T00:00:00.000,2017-02-20T00:00:00.000,,15 Stone St,San Francisco,94108,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
0416743-01-001,0416743,"Daskarolis,Aphrodite,Will/Eliz",1250-62 Mason St Apts,1250 Mason St #62,San Francisco,CA,94108,2007-04-01T00:00:00.000,2007-04-01T00:00:00.000,,21 Knoll Ridge Way,Oakland,94619,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1378535-01-251,1165619,Joe Bourque,Joe Bourque,30 Wayne Pl Apt 30,San Francisco,CA,94133,2025-01-01T00:00:00.000,2025-01-01T00:00:00.000,,30 Wayne Pl Apt 30,San Francisco,94133,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1060955-04-161,1029926,Steven E. Berlin / Dba: Berlin Masonry,Berlin Masonry,42 Hotaling Pl Bldg,San Francisco,CA,94111,2016-04-04T00:00:00.000,2016-04-04T00:00:00.000,2020-12-31T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-12-31T00:00:00.000,
1143389-04-171,1068846,Christina Petteway,Northstar Hosting,721 Green St,San Francisco,CA,94133,2015-04-01T00:00:00.000,2015-04-01T00:00:00.000,2020-03-17T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-04-30T00:00:00.000,
1140269-03-171,1067380,Bre Quad Holdings LLC,Club Quarters San Francisco,424 Clay Street,San Francisco,CA,94111,2016-02-11T00:00:00.000,2016-02-11T00:00:00.000,,333 Ludlow St Fl 3,Stamford,06902,CT,7210-7219,Accommodations,False,True,D03 D26 HHH,Multiple,3,Chinatown,,
1199382-08-181,1092164,Scott Charles Wertz,Mason Rental,1338 Mason St,San Francisco,CA,94133,2018-08-30T00:00:00.000,2018-08-30T00:00:00.000,2018-12-31T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-12-31T00:00:00.000,
1212599-02-191,1096519,207 Church St LLC,207 Church St LLC,959 Jackson St Apt 3,San Francisco,CA,94133,2019-01-04T00:00:00.000,2019-02-11T00:00:00.000,2019-06-24T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2019-06-24T00:00:00.000,
0060906-05-001,0060906,Justice Investors Lp,Hilton S F Financial District,750 Kearny St #502,San Francisco,CA,94108,1970-12-07T00:00:00.000,2008-12-01T00:00:00.000,,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,False,D39 H24 H26,Multiple,3,Chinatown,,Chinatown
0127267-01-001,0127267,Claussen James,912 Powell St Apartments,912 Powell St,San Francisco,CA,94108,1981-01-01T00:00:00.000,1981-01-01T00:00:00.000,2013-12-31T00:00:00.000,1517 N Point St # 475,San Francisco,94123,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1044514-11-151,0445860,Mendes Sharone,La Casa Verde S.F.,784 Green St,San Francisco,CA,94133,2010-01-27T00:00:00.000,2010-01-27T00:00:00.000,,784 Green St,San Francisco,94133,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1242562-01-201,1110360,Fervenity LLC,Fervenity,946 Stockton St Unit 10a,San Francisco,CA,94108,2020-01-12T00:00:00.000,2020-01-12T00:00:00.000,,"946 Stockton St, Stockton St 10a Unit",San Francisco,94108,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1327613-03-231,1144453,"Lauren Pinheiro, D/B/A 1334 Mason Street",1334 Mason Street,1334 Mason St,San Francisco,CA,94133,2023-03-14T00:00:00.000,2023-03-14T00:00:00.000,,1334 Mason St,San Francisco,94133,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1207321-12-181,1095815,Jichen Jiang,Jichen Jiang,143 Waverly Pl Fl 2nd,San Francisco,CA,94108,2018-12-11T00:00:00.000,2018-12-11T00:00:00.000,2019-07-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2019-07-01T00:00:00.000,Chinatown
1177806-02-181,0060906,Justice Investors Lp,Holiday Inn,750 Kearny St,San Francisco,CA,94108,1970-12-07T00:00:00.000,1970-12-07T00:00:00.000,2006-01-01T00:00:00.000,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,False,H60,MONITORING WELLS,3,Chinatown,,Chinatown
0171733-02-001,0171733,Tsun Tsin Assn,617 Jackson St Bldg,617 Jackson St,San Francisco,CA,94133,1985-01-01T00:00:00.000,1985-01-01T00:00:00.000,,950 Stockton St Ste 403,San Francisco,94108,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
1062907-04-161,1030846,Victoria Stein,743 Green St.,743 Green St,San Francisco,CA,94133,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,2017-09-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2017-09-01T00:00:00.000,
0032546-02-001,0032546,Wong Ock Poy,671 Commercial Rentals,671 Commercial St,San Francisco,CA,94111,1968-10-01T00:00:00.000,1968-10-01T00:00:00.000,,128 Morton Dr,Daly City,94015,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1241761-01-201,1110008,Alan Abruzzo,Alan Abruzzo,23 Card Aly Apt B,San Francisco,CA,94133,2023-06-17T00:00:00.000,2023-06-17T00:00:00.000,,23 Card Alley #B Card Aly B Apt,San Francisco,94133,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1247466-02-201,1112388,Wynn Newberry,Wynn Newberry,762 Green St,San Francisco,CA,94133,2020-02-27T00:00:00.000,2020-02-27T00:00:00.000,2020-02-27T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-02-27T00:00:00.000,
1147228-05-171,1070539,San Chi Wong,Oriental Foot Reflexology,16 Waverly Pl,San Francisco,CA,94108,2017-05-21T00:00:00.000,2017-05-21T00:00:00.000,2018-08-22T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-08-22T00:00:00.000,Chinatown
0205451-02-001,0205451,Lui Fred & Betty,Fred Lui Md,728 Pacific Ave 504,San Francisco,CA,94133,1988-01-07T00:00:00.000,2007-12-17T00:00:00.000,2017-06-29T00:00:00.000,160 San Anselmo Ave,San Francisco,94127,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
1127335-11-161,0363077,Battery & Clay Associates LLC,Battery & Clay Associates LLC,424 Clay St,San Francisco,CA,94111,2003-02-01T00:00:00.000,2016-02-11T00:00:00.000,,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1051460-01-161,1024287,Roberts Adrian,Adrian Roberts,946 Stockton St Apt 7a,San Francisco,CA,94108,2015-12-09T00:00:00.000,2015-12-09T00:00:00.000,,946 Stockton St Apt 7a,San Francisco,94108,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1156974-08-171,1074347,Paul Schweibinz,744 Union,744 Union St 2,San Francisco,CA,94133,2017-08-04T00:00:00.000,2017-08-04T00:00:00.000,2019-05-28T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2019-05-28T00:00:00.000,
1247468-02-201,1112389,Wynn Newberry,Wynn Newberry,762 Green St,San Francisco,CA,94133,2020-02-27T00:00:00.000,2020-02-27T00:00:00.000,2020-02-27T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-02-27T00:00:00.000,
1174490-01-181,1067679,Jason Yee,Jason's Airbnb,860 Vallejo St A,San Francisco,CA,94133,2017-03-25T00:00:00.000,2018-01-04T00:00:00.000,2018-07-31T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-06-01T00:00:00.000,
1346314-11-231,1127641,Htlv Sf Trs LLC,Htlv Sf Trs LLC The Jay San Francisco,333 Battery St,San Francisco,CA,94111,2021-08-31T00:00:00.000,2023-11-01T00:00:00.000,,433 Clay St,San Francisco,94111,CA,7210-7219,Accommodations,True,True,,,3,Chinatown,,
1258685-08-201,1116962,Jose Castello,Jose Castello,1340 Mason St,San Francisco,CA,94133,2020-08-26T00:00:00.000,2020-08-26T00:00:00.000,,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1335883-06-231,1147846,Jackson Street Sro LLC,Jackson Street Sro LLC,912 Jackson St,San Francisco,CA,94133,2023-06-01T00:00:00.000,2023-06-01T00:00:00.000,,2361 Mission St Apt 239,San Francisco,94110,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
0428539-01-001,0428539,Pacific Tradewinds Hostel LLC,Pacific Tradewinds Hostel LLC,680 Sacramento St,San Francisco,CA,94111,2002-04-08T00:00:00.000,2002-04-08T00:00:00.000,,113 W G St,San Diego,92101,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1376306-12-241,1164645,Ernest Cheng,Sf Locals Guide Agency,1318 Powell St,San Francisco,CA,94133,2024-12-11T00:00:00.000,2024-12-11T00:00:00.000,,301 Ellis St Ste 1160,San Francisco,94102,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1161188-09-171,1076154,David Copperman,David Copperman,9 Kenneth Rexroth Pl Pl,San Francisco,CA,94133,2017-09-15T00:00:00.000,2017-09-15T00:00:00.000,2019-04-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2019-04-01T00:00:00.000,
1343247-09-231,0060906,Justice Investors Lp,Hilton San Francisco Financial District,750 Kearny St Ll,San Francisco,CA,94108,1970-12-07T00:00:00.000,1996-02-14T00:00:00.000,,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,Chinatown
0478409-02-001,0478409,Lum Richard,673-675 Broadway,673 Broadway #675,San Francisco,CA,94133,2013-04-12T00:00:00.000,2013-04-22T00:00:00.000,,3337 Buchanan St,San Francisco,94123,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
1192016-06-181,1089130,John Danner,John Danner,30 Winter Pl,San Francisco,CA,94133,2018-06-15T00:00:00.000,2018-06-15T00:00:00.000,2018-12-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-12-01T00:00:00.000,
1167853-11-171,1079329,Bonnie Lau,Bonnie Lau,939 Jackson St 202,San Francisco,CA,94133,2017-11-18T00:00:00.000,2017-11-18T00:00:00.000,2019-06-30T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2019-06-30T00:00:00.000,
1285983-09-211,1127641,Htlv Sf Trs LLC,Park Grill & Restaurant,333 Battery St,San Francisco,CA,94111,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,2023-01-01T00:00:00.000,433 Clay St,San Francisco,94111,CA,7210-7219,Accommodations,False,False,D04,PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY,3,Chinatown,,
1165708-11-171,1078273,Lee,Richard Lee,946 Stockton St,San Francisco,CA,94108,2017-11-01T00:00:00.000,2017-11-01T00:00:00.000,2018-05-15T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-05-15T00:00:00.000,
0043587-01-001,0043587,Wong Henry,977-981 Jackson St Apartments,977 Jackson St,San Francisco,CA,94133,1968-10-01T00:00:00.000,1968-10-01T00:00:00.000,,981 Jackson St,San Francisco,94133,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
0375742-01-001,0375742,Yamane Glenn S,871-877 Vallejo St,877 Vallejo St,San Francisco,CA,94133,2004-03-12T00:00:00.000,2005-08-01T00:00:00.000,,877 Vallejo St,San Francisco,94133,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1162290-09-171,1067380,Bre Quad Holdings LLC,Connections San Francisco,424 Clay St,San Franciscco,CA,94111,2016-02-11T00:00:00.000,2017-09-26T00:00:00.000,,333 Ludlow St Fl 3,Stamford,06902,CT,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1170951-12-171,1080905,Chronic Money,"Chronic Money, LLC",1459 Powell St,San Francisco,CA,94133,2017-12-15T00:00:00.000,2017-12-15T00:00:00.000,2023-06-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2023-06-01T00:00:00.000,
1382033-02-251,1167125,Sk Properties LLC,Sk Properties LLC,1046 Powell St,San Francisco,CA,94108,2025-02-26T00:00:00.000,2025-02-26T00:00:00.000,,1046 Powell St,San Francisco,94108,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
0060906-04-001,0060906,Justice Investors Lp,Ace Parking,750 Kearny St 502,San Francisco,CA,94108,1970-12-07T00:00:00.000,2008-12-01T00:00:00.000,2016-10-05T00:00:00.000,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
1160596-09-171,1075873,Edward Chung,1330 Mason St,1330 Mason St Apt,San Francisco,CA,94133,2017-09-10T00:00:00.000,2017-09-10T00:00:00.000,2020-04-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-04-01T00:00:00.000,
1369717-09-241,1161825,Jady Lim,Jady Lim,946 Stockton St Apt 11e,San Francisco,CA,94108,2024-09-01T00:00:00.000,2024-09-01T00:00:00.000,,946 Stockton St Apt 11e,San Francisco,94108,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1160129-09-171,1075702,Josephine Arader,Josephine Arader,432 Jackson St,San Francisco,CA,94111,2017-09-01T00:00:00.000,2017-09-01T00:00:00.000,2017-12-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2017-12-01T00:00:00.000,
0181930-01-001,0181930,Tom Dean G Tom Mei Yao Trust,55-59 John St Apartments,55 John St,San Francisco,CA,94133,1988-01-01T00:00:00.000,1988-01-01T00:00:00.000,,1687 29th Ave,San Francisco,94122,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
0096659-01-001,0096659,Yee Robert W Etal,670-672 Broadway Bldg,670 Broadway,San Francisco,CA,94133,1975-08-01T00:00:00.000,1975-08-01T00:00:00.000,,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
0171733-01-001,0171733,Tsun Tsin Assn,Tsun Tsin Assn,617 Jackson St,San Francisco,CA,94133,1985-01-01T00:00:00.000,1985-01-01T00:00:00.000,,950 Stockton St Ste 403,San Francisco,94108,CA,7210-7219,Accommodations,False,True,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,Chinatown
1356803-03-241,1156754,Lew Gar Kong Saw Association,Lew Gar Kong Saw Association,33 Ross Aly,San Francisco,CA,94108,2024-03-01T00:00:00.000,2024-03-01T00:00:00.000,2024-03-01T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2024-03-01T00:00:00.000,Chinatown
0386444-03-001,0386444,935 Kearny Street LLC,North Beach Hotel,935 Kearny St,San Francisco,CA,94133,2003-07-07T00:00:00.000,2008-07-01T00:00:00.000,,220 Montgomery St Ste 2000,San Francisco,94104,CA,7210-7219,Accommodations,False,True,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,Chinatown
1180345-02-181,0365308,Coe Alan F,Alan Coe 2,535 Columbus Ave Apt 33,San Francisco,CA,94133,2003-03-16T00:00:00.000,2018-02-26T00:00:00.000,2016-02-28T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2019-12-31T00:00:00.000,North Beach
0304355-04-001,0304355,Shaikh Adil N.,Liguria Hotel,371 Columbus Ave,San Francisco,CA,94133,1997-01-01T00:00:00.000,2003-03-15T00:00:00.000,2017-01-31T00:00:00.000,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,North Beach
1168486-11-171,1079637,John  Harris,San Francisco Courier,842 Pacific Ave E,San Francisco,CA,94133,2017-07-01T00:00:00.000,2017-07-01T00:00:00.000,2021-06-30T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2021-06-30T00:00:00.000,Chinatown
1142554-04-171,1067380,Bre Quad Holdings LLC,Bre Quad Ca Owner LLC,424 Clay St,San Francisco,CA,94111,2016-02-11T00:00:00.000,2016-02-11T00:00:00.000,,333 Ludlow St Fl 3,Stamford,06902,CT,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1164419-10-171,1077652,Filomena Filomena,307 Columbus,307 Columbus Ave,San Francisco,CA,94133,2017-10-19T00:00:00.000,2017-10-19T00:00:00.000,2017-10-19T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2017-10-19T00:00:00.000,North Beach
0363077-02-001,0363077,Battery & Clay Associates LLC,Connections San Francisco,424 Clay St,San Francisco,CA,94111,2003-02-01T00:00:00.000,2012-09-12T00:00:00.000,2016-02-10T00:00:00.000,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1052740-02-161,1024962,Echandi Grettel,Grettel Hannia Echandi,1832 A Mason St Unit A,San Francisco,CA,94133,2015-02-01T00:00:00.000,2015-02-01T00:00:00.000,,1832a Mason St Unit A,San Francisco,94133,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1241890-01-201,1110067,Alan Abruzzo,Alan Abruzzo,23 Card Aly Apt B,San Francisco,CA,94133,2020-01-06T00:00:00.000,2020-01-06T00:00:00.000,2020-01-06T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-01-06T00:00:00.000,
1144494-04-171,1069400,371 Columbus,Liguira Hotel,371 Columbus Ave,San Francisco,CA,94133,2017-02-08T00:00:00.000,2017-02-08T00:00:00.000,2018-03-31T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-03-31T00:00:00.000,North Beach
1344990-10-231,1151735,Art Of Finance LLC,Art Of Finance LLC,4 Card Aly,San Francisco,CA,94133,2022-08-30T00:00:00.000,2022-08-30T00:00:00.000,,0000 Undeliverable Mail,San Francisco,99999,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1195090-07-181,1090202,629 Jackson LLC,629 Jackson LLC,629 Jackson St,San Francisco,CA,94133,2018-07-02T00:00:00.000,2018-07-02T00:00:00.000,,627 Jackson St,San Francisco,94133,CA,7210-7219,Accommodations,False,False,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,Chinatown
1096031-08-161,0060906,Justice Investors Lp,Kearny Street Parking,750 Kearny St,San Francisco,CA,94108,1970-12-07T00:00:00.000,2016-08-25T00:00:00.000,,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,True,False,,,3,Chinatown,,Chinatown
1285981-09-211,1127641,Htlv Sf Trs LLC,Le Meridien San Francisco,333 Battery St,San Francisco,CA,94111,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,2023-11-01T00:00:00.000,433 Clay St,San Francisco,94111,CA,7210-7219,Accommodations,False,False,D03 D04 D19 D26 D39 D47 HHH,Multiple,3,Chinatown,,
1147062-05-171,1070478,Mania Carmen Bedikian,Mania Carmen Bedikian,86 John St,San Francisco,CA,94133,2017-05-19T00:00:00.000,2017-05-19T00:00:00.000,,86 John St,San Francisco,94133,CA,7210-7219,Accommodations,False,True,,,3,Chinatown,,
1360681-05-241,1158326,Lew Gar Kong Saw Association,Lew Gar Kung Saw Association,854 Clay St,San Francisco,CA,94108,2024-05-01T00:00:00.000,2024-05-01T00:00:00.000,,37 Ross Aly,San Francisco,94108,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
1155527-07-171,1073821,Sebastien Perez-Vargas,August Alley Airbnb,10 August Aly Apt C,San Francisco,CA,94133,2017-07-25T00:00:00.000,2017-07-25T00:00:00.000,2018-04-02T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-04-02T00:00:00.000,
1277747-05-211,1124464,Frances Yee,858 Vallejo Street,858 Vallejo St,San Francisco,CA,94133,2021-05-14T00:00:00.000,2021-05-14T00:00:00.000,2021-05-14T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2021-05-14T00:00:00.000,
0019926-02-001,0019926,Royal Pacific Motel,Royal Pacific Motor Inn,661 Broadway,San Francisco,CA,94133,1968-10-01T00:00:00.000,1968-10-01T00:00:00.000,,661 Broadway,San Francisco,94133,CA,7210-7219,Accommodations,False,True,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,Chinatown
1285985-09-211,1127641,Htlv Sf Trs LLC,Employee Cafeteria,333 Battery St,San Francisco,CA,94111,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,,433 Clay St,San Francisco,94111,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1178591-02-181,1011073,Around Labs Inc,758 Green Street,758 Green Street,San Francisco,CA,94133,2015-03-01T00:00:00.000,2018-02-08T00:00:00.000,2018-12-26T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-12-26T00:00:00.000,
1125875-10-161,1060456,Mattias Kayler,Mattias Kayler,86 John St,San Francisco,CA,94133,2016-10-20T00:00:00.000,2016-10-20T00:00:00.000,2017-05-29T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2017-05-29T00:00:00.000,
1343254-09-231,0060906,Justice Investors Lp,Hilton San Francisco Financial District,750 Kearny St,San Francisco,CA,94108,1970-12-07T00:00:00.000,2006-01-01T00:00:00.000,,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
0478409-01-001,0478409,Lum Richard,Lum Wai Kui & Lan Wai,673 Broadway,San Francisco,CA,94133,2013-04-12T00:00:00.000,2013-04-12T00:00:00.000,,3337 Buchanan St,San Francisco,94123,CA,7210-7219,Accommodations,False,False,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,Chinatown
1207927-12-181,1096061,Ashley Bennett,The Element,1459 Powell St,San Francisco,CA,94133,2017-12-19T00:00:00.000,2017-12-19T00:00:00.000,2017-12-19T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2017-12-19T00:00:00.000,
1081142-07-161,1039018,Yi Tang,Yi Tang,946 Stockton St Apt 18f,San Francisco,CA,94108,2016-07-01T00:00:00.000,2016-07-01T00:00:00.000,2018-02-20T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2018-02-20T00:00:00.000,
