permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,last_permit_activity_date,application_submission_method,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,zipcode,location,point_source,record_id,data_as_of,data_loaded_at,filed_date,issued_date,completed_date,revised_cost,unit,fire_only_permit,unit_suffix,structural_notification,site_permit,street_number_suffix,first_construction_document_date
202403087393,8,otc alterations permit,2024-03-08T00:00:00.000,7017,041,74,Granada,Av,ref 201911056413- to obtain a final inspectinn for work approved under ref permit. all work is complete,complete,2024-04-01T14:42:59.000,2,2,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T08:55:31.000,in-house,N,Y,11,Oceanview/Merced/Ingleside,94112,"{'type': 'Point', 'coordinates': [-122.456839507, 37.719571211]}",eas_address_point,1689979217806,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T08:52:23.000,2024-03-08T08:58:52.000,2024-04-01T14:42:59.000,1.0,,,,,,,
202403087430,8,otc alterations permit,2024-03-08T00:00:00.000,0805,018,792,Hayes,St,replace a section of (e) stairs at the back of the building.,issued,2024-03-13T13:28:17.000,3,3,3000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-13T13:26:24.000,in-house,N,Y,5,Hayes Valley,94102,"{'type': 'Point', 'coordinates': [-122.429373686, 37.776233861]}",eas_address_point,169001781933,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T11:09:26.000,2024-03-13T13:28:17.000,,3000.0,,,,,,,
202403087462,8,otc alterations permit,2024-03-08T00:00:00.000,6770,020,262,Monterey,Bl,to comply with nov# 202297541: replace the windows at the front.,issued,2024-03-08T14:44:30.000,2,2,5500.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T14:39:58.000,in-house,N,Y,7,West of Twin Peaks,94131,"{'type': 'Point', 'coordinates': [-122.441188173, 37.731849275]}",eas_address_point,1690047212674,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T13:41:00.000,2024-03-08T14:44:30.000,,5500.0,,,,,,,
202403087479,8,otc alterations permit,2024-03-08T00:00:00.000,4107,011,808,22nd,St,renew/remodel one kitchen and two bathrooms. no removal of walls,issued,2024-03-08T15:54:08.000,2,2,20000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T15:49:18.000,in-house,N,Y,10,Potrero Hill,94107,"{'type': 'Point', 'coordinates': [-122.389618043, 37.758078107]}",eas_address_point,1690067170901,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T14:59:14.000,2024-03-08T15:54:08.000,,124000.0,,,,,,,
202403087423,8,otc alterations permit,2024-03-08T00:00:00.000,0208,028,655,Montgomery,St,14/f and 19/f: connect new vfd to existing supply fan. mechanical ref permit 202401294790,complete,2024-03-22T10:42:25.000,26,26,666.0,office,33.0,office,33.0,2,"B,R-2","B,R-2",1,constr type 1,1,constr type 1,2024-03-08T12:03:03.000,in-house,N,Y,3,Chinatown,94111,"{'type': 'Point', 'coordinates': [-122.403373484, 37.795122654]}",eas_address_point,169000962300,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:49:37.000,2024-03-08T12:05:18.000,2024-03-22T10:42:25.000,666.0,,Y,,,,,
202403087472,8,otc alterations permit,2024-03-08T00:00:00.000,1796,011,1363,41st,Av,reroofing,complete,2024-05-16T09:59:44.000,2,2,14000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T15:00:39.000,in-house,N,Y,4,Sunset/Parkside,94122,"{'type': 'Point', 'coordinates': [-122.500944666, 37.761335301]}",eas_address_point,1690059114622,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T14:27:23.000,2024-03-08T15:03:33.000,2024-05-16T09:59:44.000,14000.0,,,,,,,
202403087467,8,otc alterations permit,2024-03-08T00:00:00.000,0828,002,441,Webster,St,replace four windows on the south side of the building. not visible from the street. no change in size or operation. vinyl construction. work being done to clear item in nov202296451.,complete,2024-03-13T08:47:50.000,3,3,2000.0,apartments,3.0,apartments,3.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-08T15:03:36.000,in-house,N,Y,5,Hayes Valley,94117,"{'type': 'Point', 'coordinates': [-122.429575041, 37.774679952]}",eas_address_point,1690053274034,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T14:01:23.000,2024-03-08T15:05:55.000,2024-03-13T08:47:50.000,3000.0,,,,,,,
202403087437,8,otc alterations permit,2024-03-08T00:00:00.000,3502,141,150,Valencia,St,bldg at 150 valencia is currently vacant. no tenants. we will perform exploratory work to determine the size/depth/footprint/thickness of the existing footings. holes will be filled with slurry. no work on walls. no layout changes. no wall demo. no structural work involved. 2'x2'x approx 2' deep.,issued,2024-03-08T12:44:43.000,2,2,3000.0,retail sales,,retail sales,,0,M,M,5,wood frame (5),5,wood frame (5),2024-03-08T12:40:21.000,in-house,N,Y,8,Mission,94103,"{'type': 'Point', 'coordinates': [-122.422861564, 37.770567748]}",eas_address_point,1690025516554,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T11:50:53.000,2024-03-08T12:44:43.000,,3000.0,,,,,,,
202403087385,8,otc alterations permit,2024-03-08T00:00:00.000,1908,020,1679,35th,Av,revision to pa# 2021-0629-3442; remove ground floor scoope of work from pa# 2021-06293442,issued,2024-03-08T10:18:36.000,2,2,1.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T10:14:59.000,in-house,N,Y,4,Sunset/Parkside,94122,"{'type': 'Point', 'coordinates': [-122.494106447, 37.755756671]}",eas_address_point,1689971119909,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T08:18:16.000,2024-03-08T10:18:36.000,,1.0,,,,,,,
202403087408,8,otc alterations permit,2024-03-08T00:00:00.000,1737,005,1200,Irving,St,re-roofing. crrc #0674-0030,complete,2024-07-17T08:52:42.000,2,2,552600.0,retail sales,,retail sales,,0,M,M,5,wood frame (5),5,wood frame (5),2024-03-13T09:57:22.000,in-house,N,Y,7,Inner Sunset,94122,"{'type': 'Point', 'coordinates': [-122.471168056, 37.764348881]}",eas_address_point,1689994112278,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:07:58.000,2024-03-13T10:05:17.000,2024-07-17T08:52:42.000,552600.0,,,,,,,
202403087436,8,otc alterations permit,2024-03-08T00:00:00.000,4102,015,586,Mississippi,St,revision to pa#202209212887 change to concrete strength in basement.,complete,2024-03-21T11:05:53.000,2,2,1.0,2 family dwelling,2.0,2 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T12:27:11.000,in-house,N,,10,Potrero Hill,94107,"{'type': 'Point', 'coordinates': [-122.394551741, 37.759002997]}",eas_address_point,1690024521629,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T11:35:46.000,2024-03-08T12:30:26.000,2024-03-21T11:05:53.000,1.0,,,,,,,
202403087419,8,otc alterations permit,2024-03-08T00:00:00.000,0303,019,839,Post,St,"remodel kitchen and bathroom in kind. kitchen- replace cabinets, countertop, new floor. bathroom: replace bath tub, shower valve, vanity, retile shower and floor. non structural work. no change wall layout.",complete,2024-07-08T14:09:40.000,6,6,35000.0,apartments,53.0,apartments,53.0,0,R-2,R-2,3,constr type 3,3,constr type 3,2024-03-08T11:24:32.000,in-house,N,Y,3,Tenderloin,94109,"{'type': 'Point', 'coordinates': [-122.415618968, 37.7870865]}",eas_address_point,1690005233744,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:45:26.000,2024-03-08T11:28:09.000,2024-07-08T14:09:40.000,45215.0,,,,,,,
202403087404,8,otc alterations permit,2024-03-08T00:00:00.000,2472,038,2658,25th,Av,"replace 1 window in back of house w/ vinyl, u= .30 max",cancelled,2024-03-19T07:48:30.000,2,2,2000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T09:51:28.000,in-house,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.481453101, 37.737952304]}",eas_address_point,1689990137386,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T09:33:05.000,2024-03-08T09:57:26.000,,2000.0,,,,,,,
202403087380,8,otc alterations permit,2024-03-08T00:00:00.000,3046,015,101,San Felipe,Av,"replace (1) rear window non street visible (e) wood, (n) alumnium clad wood no size change <.30",complete,2024-06-20T10:29:19.000,2,2,4693.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T08:17:37.000,in-house,N,Y,7,West of Twin Peaks,94127,"{'type': 'Point', 'coordinates': [-122.462783389, 37.731094366]}",eas_address_point,1689966150847,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T07:50:18.000,2024-03-08T08:20:13.000,2024-06-20T10:29:19.000,4693.0,,,,,,,
202403087409,8,otc alterations permit,2024-03-08T00:00:00.000,6192,055,357,Wilde,Av,replacement of (8) vinyl windows at the rear of building. same size and location u=.30max,complete,2024-04-22T10:17:16.000,1,1,4000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T10:31:03.000,in-house,N,Y,10,Visitacion Valley,94134,"{'type': 'Point', 'coordinates': [-122.403889098, 37.716577301]}",eas_address_point,1689995197919,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:13:33.000,2024-03-08T10:33:07.000,2024-04-22T10:17:16.000,4000.0,,,,,,,
202403087452,8,otc alterations permit,2024-03-08T00:00:00.000,1069,033,106,Collins,St,to document removal of approved 2/f electrical per bpa 202304266534-s1. 2nd floor electrical work nic.,issued,2024-03-11T10:28:18.000,2,2,1.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-11T10:01:47.000,in-house,N,Y,2,Presidio Heights,94118,"{'type': 'Point', 'coordinates': [-122.449891745, 37.784150154]}",eas_address_point,169004088903,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T12:47:02.000,2024-03-11T10:28:18.000,,1.0,,,,,,,
202403087471,8,otc alterations permit,2024-03-08T00:00:00.000,1430,010,221,03rd,Av,reroofing,complete,2024-03-19T11:58:04.000,3,3,15000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T14:59:09.000,in-house,N,Y,1,Inner Richmond,94118,"{'type': 'Point', 'coordinates': [-122.461616927, 37.784181346]}",eas_address_point,169005899425,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T14:24:28.000,2024-03-08T15:03:20.000,2024-03-19T11:58:04.000,15000.0,,,,,,,
202403087415,8,otc alterations permit,2024-03-08T00:00:00.000,0165,007,394,Pacific,Av,"ref 202311090528 air distribution and ductwork for basement restroom. new power, lightinng and signal. new title 24 compliant ligihting and controls",complete,2024-07-29T11:15:11.000,5,5,88241.0,office,0.0,office,0.0,2,B,B,3,constr type 3,3,constr type 3,2024-03-13T11:27:44.000,in-house,N,Y,3,Financial District/South Beach,94111,"{'type': 'Point', 'coordinates': [-122.401858482, 37.797788346]}",eas_address_point,169000161372,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:33:53.000,2024-03-13T11:35:37.000,2024-07-29T11:15:11.000,88241.0,,,,,,,
202403087446,8,otc alterations permit,2024-03-08T00:00:00.000,6192,009,18,Tioga,Av,reroofing,complete,2024-04-15T10:55:13.000,2,2,15000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T13:13:54.000,in-house,N,Y,10,Visitacion Valley,94134,"{'type': 'Point', 'coordinates': [-122.403082006, 37.715958607]}",eas_address_point,1690034197879,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T12:30:21.000,2024-03-08T13:15:19.000,2024-04-15T10:55:13.000,15000.0,,,,,,,
202403087480,8,otc alterations permit,2024-03-08T00:00:00.000,3597,009,870,Valencia,St,no construction. put a restaurant equipment. perfect fry ventless fryer. referance pa#200712130412. working only in the restaurant,filed,2024-03-08T15:01:08.000,2,2,1.0,retail sales,0.0,retail sales,0.0,2,"M,R-2","M,R-2",5,wood frame (5),5,wood frame (5),2024-11-22T10:05:32.000,in-house,N,Y,9,Mission,94110,"{'type': 'Point', 'coordinates': [-122.421634578, 37.758981997]}",eas_address_point,1690068278563,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T15:01:08.000,,,1.0,,,,,,,
202403087441,8,otc alterations permit,2024-03-08T00:00:00.000,7209,009A,2950,26th,Av,new deck at yard. remodel kitchen and 2 bathrooms. new interior sheetrock. new electric wiring. new insulation.,issued,2024-03-19T12:16:29.000,2,2,520000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-19T10:51:02.000,in-house,N,Y,4,Sunset/Parkside,94132,"{'type': 'Point', 'coordinates': [-122.481668851, 37.733332549]}",eas_address_point,1690029224228,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T12:12:00.000,2024-03-19T12:16:29.000,,520000.0,,,,Y,,,
202403087399,8,otc alterations permit,2024-03-08T00:00:00.000,3174,016,706,Faxon,Av,revision 202304034889- remove proposed holddown at grid line 1 and 4 (4 total). remove pull test requirement. w&d to remain @ lower level. pocket door to living room to remain. urfp retrofit plates and sill plate anchor bolts @ garage,complete,2024-05-15T13:11:38.000,2,2,1.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-21T10:14:54.000,in-house,N,Y,7,West of Twin Peaks,94112,"{'type': 'Point', 'coordinates': [-122.459676552, 37.726148556]}",eas_address_point,1689986154358,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T09:10:45.000,2024-03-21T10:19:34.000,2024-05-15T13:11:38.000,1.0,,,,,,,
202403087486,8,otc alterations permit,2024-03-08T00:00:00.000,0677,013,1942,Sutter,St,recommencement and completion of work approved under 201708316556 and 202011138898.,issued,2024-03-08T15:43:14.000,2,2,80000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T15:31:05.000,in-house,N,Y,5,Pacific Heights,94115,"{'type': 'Point', 'coordinates': [-122.432420271, 37.786480447]}",eas_address_point,169007678526,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T15:27:26.000,2024-03-08T15:43:14.000,,80000.0,,,,,,,
202403087458,8,otc alterations permit,2024-03-08T00:00:00.000,5308,006,1430,Newcomb,Av,remove and replace interior stairs to 2nd fl and interior door into garage due water damage,complete,2024-04-10T13:18:35.000,2,2,5000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T14:50:52.000,in-house,N,Y,10,Bayview Hunters Point,94124,"{'type': 'Point', 'coordinates': [-122.386476846, 37.733648665]}",eas_address_point,1690043178817,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T13:14:27.000,2024-03-08T14:53:40.000,2024-04-10T13:18:35.000,8000.0,,,,,,,
202403087476,8,otc alterations permit,2024-03-08T00:00:00.000,3605,031,367,Liberty,St,"repair all interior rain water damage, new drywall, new flooring, new cabinetry. all plumbing and electrical fixtures will remain in same location. all new tiles. no structural changes. both units no layout changes",issued,2024-03-08T15:18:38.000,4,4,200000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T15:14:50.000,in-house,N,Y,8,Castro/Upper Market,94114,"{'type': 'Point', 'coordinates': [-122.429361466, 37.756961464]}",eas_address_point,1690063161491,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T14:53:02.000,2024-03-08T15:18:38.000,,200000.0,,,,,,,
202403087463,8,otc alterations permit,2024-03-08T00:00:00.000,0639,009,2094,California,St,to obtain final inspectio for 201912028426. all work is complete.,complete,2024-03-08T14:11:31.000,3,3,1.0,apartments,4.0,apartments,4.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-08T13:57:28.000,in-house,N,Y,2,Pacific Heights,94109,"{'type': 'Point', 'coordinates': [-122.428642118, 37.789722725]}",eas_address_point,1690048282964,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T13:45:09.000,2024-03-08T13:59:19.000,2024-03-08T14:11:31.000,1.0,,,,,,,
202403087442,8,otc alterations permit,2024-03-08T00:00:00.000,3727,096,1133,Mission,St,fallen fence due to bad weather repairing/replacing entire fence. in kind. visible to street. violation number 202419037. approx 8 ft tall chain linked fence,complete,2024-05-09T12:22:03.000,,,3000.0,vacant lot,,vacant lot,,0,,,,,,,2024-03-08T14:11:05.000,in-house,N,Y,6,South of Market,94103,"{'type': 'Point', 'coordinates': [-122.411515865, 37.77833027]}",eas_address_point,1690030165050,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T12:25:09.000,2024-03-08T14:14:31.000,2024-05-09T12:22:03.000,3000.0,,,,,,,
